Timestamp,Milliseconds,X,Y,Z,Profile,Activity
1/8/2020 19:24,723,-3.0436707,6.276367,4.340576,AR,stairsu
1/8/2020 19:24,733,-2.995819,6.4630127,3.8572235,AR,stairsu
1/8/2020 19:24,743,-3.2566376,6.8937225,3.5940247,AR,stairsu
1/8/2020 19:24,754,-3.4073792,7.092331,3.7184448,AR,stairsu
1/8/2020 19:24,763,-3.1250305,6.9152527,4.1611176,AR,stairsu
1/8/2020 19:24,773,-2.6823578,6.620941,4.7449646,AR,stairsu
1/8/2020 19:24,783,-2.4646149,6.278763,5.149353,AR,stairsu
1/8/2020 19:24,794,-2.285141,6.1136627,5.091934,AR,stairsu
1/8/2020 19:24,803,-2.2014008,6.197418,4.6779633,AR,stairsu
1/8/2020 19:24,813,-1.964508,6.300308,4.1395874,AR,stairsu
1/8/2020 19:24,823,-1.9333954,6.1327972,3.5772705,AR,stairsu
1/8/2020 19:24,834,-2.6895294,5.922241,2.703888,AR,stairsu
1/8/2020 19:24,843,-3.1058807,5.9413757,2.7876434,AR,stairsu
1/8/2020 19:24,853,-4.019943,5.9844513,3.694519,AR,stairsu
1/8/2020 19:24,863,-4.5056915,5.8456726,4.960327,AR,stairsu
1/8/2020 19:24,874,-4.93161,5.48674,5.970093,AR,stairsu
1/8/2020 19:24,883,-4.543976,5.2881317,6.467804,AR,stairsu
1/8/2020 19:24,893,-4.2185516,4.955536,7.0707855,AR,stairsu
1/8/2020 19:24,904,-4.134796,4.6492615,7.1593323,AR,stairsu
1/8/2020 19:24,913,-4.249649,4.3214417,6.9678955,AR,stairsu
1/8/2020 19:24,923,-4.7760773,4.072586,6.726227,AR,stairsu
1/8/2020 19:24,934,-5.5202484,3.900299,6.6687927,AR,stairsu
1/8/2020 19:24,943,-6.2524414,4.0127563,6.742981,AR,stairsu
1/8/2020 19:24,953,-6.8315125,3.8620148,6.5563354,AR,stairsu
1/8/2020 19:24,963,-8.195419,3.0580292,5.9318085,AR,stairsu
1/8/2020 19:24,973,-5.2666016,4.64447,5.922241,AR,stairsu
1/8/2020 19:24,983,-3.4169464,5.0345,5.974884,AR,stairsu
1/8/2020 19:24,993,-1.1988068,4.5918274,6.611374,AR,stairsu
1/8/2020 19:24,1003,-0.26560974,4.125229,7.5637054,AR,stairsu
1/8/2020 19:24,1013,-0.550354,3.349945,8.334198,AR,stairsu
1/8/2020 19:24,1024,-1.696518,2.8163452,9.044876,AR,stairsu
1/8/2020 19:24,1033,-2.5651093,3.069992,9.353546,AR,stairsu
1/8/2020 19:24,1043,-3.4432678,4.027115,10.286743,AR,stairsu
1/8/2020 19:24,1053,-3.6634064,4.4075775,11.408981,AR,stairsu
1/8/2020 19:24,1064,-3.5748749,4.443466,12.14357,AR,stairsu
1/8/2020 19:24,1073,-3.3332062,4.249649,12.49292,AR,stairsu
1/8/2020 19:24,1083,-2.222931,4.388443,13.239487,AR,stairsu
1/8/2020 19:24,1093,-1.7491608,4.141983,13.8137665,AR,stairsu
1/8/2020 19:24,1103,-1.660614,2.9718933,13.524231,AR,stairsu
1/8/2020 19:24,1113,-1.1294098,2.794815,13.610382,AR,stairsu
1/8/2020 19:24,1124,-1.2346954,2.8618164,13.931015,AR,stairsu
1/8/2020 19:24,1133,-2.050644,2.823532,13.887939,AR,stairsu
1/8/2020 19:24,1143,-2.7876434,3.603592,13.359131,AR,stairsu
1/8/2020 19:24,1154,-3.4648132,4.051056,12.768097,AR,stairsu
1/8/2020 19:24,1163,-3.5126648,4.2640076,12.067001,AR,stairsu
1/8/2020 19:24,1174,-3.1896362,4.067795,11.36113,AR,stairsu
1/8/2020 19:24,1183,-2.2612152,4.1443634,10.947159,AR,stairsu
1/8/2020 19:24,1193,-1.3351898,4.1276245,10.533203,AR,stairsu
1/8/2020 19:24,1203,-1.0145569,3.6897278,10.35614,AR,stairsu
1/8/2020 19:24,1214,-1.2586212,3.1011047,9.767502,AR,stairsu
1/8/2020 19:24,1223,-1.0241241,2.9742737,9.600006,AR,stairsu
1/8/2020 19:24,1233,-1.3280182,3.3427734,9.671783,AR,stairsu
1/8/2020 19:24,1243,-2.7589264,4.067795,9.410965,AR,stairsu
1/8/2020 19:24,1254,-3.7782745,4.472183,9.142975,AR,stairsu
1/8/2020 19:24,1263,-2.0937195,2.7110748,9.339188,AR,stairsu
1/8/2020 19:24,1273,-2.3736877,3.4337006,9.011368,AR,stairsu
1/8/2020 19:24,1283,-2.2564392,4.0390778,9.095123,AR,stairsu
1/8/2020 19:24,1293,-1.3950195,3.6059875,8.264816,AR,stairsu
1/8/2020 19:24,1305,-1.2155609,3.144165,7.6857452,AR,stairsu
1/8/2020 19:24,1313,-1.1246338,3.0604248,7.6211395,AR,stairsu
1/8/2020 19:24,1323,-1.7348022,3.069992,8.164307,AR,stairsu
1/8/2020 19:24,1333,-2.3904266,3.2183533,8.805588,AR,stairsu
1/8/2020 19:24,1344,-3.1489563,3.6466675,8.707489,AR,stairsu
1/8/2020 19:24,1353,-3.739975,4.165909,8.157135,AR,stairsu
1/8/2020 19:24,1363,-3.7926178,4.2998962,7.688141,AR,stairsu
1/8/2020 19:24,1373,-3.4624176,4.4195404,7.104294,AR,stairsu
1/8/2020 19:24,1384,-2.486145,4.64447,6.75972,AR,stairsu
1/8/2020 19:24,1393,-2.457428,4.2927246,6.20459,AR,stairsu
1/8/2020 19:24,1403,-2.0003967,4.249649,5.625519,AR,stairsu
1/8/2020 19:24,1414,-1.4333038,3.838089,5.77388,AR,stairsu
1/8/2020 19:24,1423,-1.282547,3.4552307,5.852844,AR,stairsu
1/8/2020 19:24,1433,-1.8999023,4.134796,6.7788696,AR,stairsu
1/8/2020 19:24,1443,-1.3734741,3.9505463,7.566101,AR,stairsu
1/8/2020 19:24,1454,-1.0839539,3.6801605,7.910675,AR,stairsu
1/8/2020 19:24,1463,-0.00479126,3.9673004,8.441879,AR,stairsu
1/8/2020 19:24,1473,-0.8805542,3.3212433,7.934601,AR,stairsu
1/8/2020 19:24,1486,-0.33499146,3.4983063,7.590027,AR,stairsu
1/8/2020 19:24,1493,0.100494385,3.7710876,7.6546326,AR,stairsu
1/8/2020 19:24,1504,0.1986084,3.8692017,7.812561,AR,stairsu
1/8/2020 19:24,1513,0.3900299,3.9649048,7.956131,AR,stairsu
1/8/2020 19:24,1523,0.74894714,4.0917206,8.219345,AR,stairsu
1/8/2020 19:24,1533,1.2562256,4.2424774,8.441879,AR,stairsu
1/8/2020 19:24,1543,1.3016968,4.421936,8.453842,AR,stairsu
1/8/2020 19:24,1554,1.7730865,4.606186,8.482559,AR,stairsu
1/8/2020 19:24,1563,0.91645813,4.194626,8.221741,AR,stairsu
1/8/2020 19:24,1573,0.7920227,4.443466,8.831909,AR,stairsu
1/8/2020 19:24,1583,0.3517456,4.302292,9.643082,AR,stairsu
1/8/2020 19:24,1593,0.32302856,4.170685,9.990036,AR,stairsu
1/8/2020 19:24,1604,0.48095703,3.900299,10.29393,AR,stairsu
1/8/2020 19:24,1613,0.91166687,3.3092804,10.648056,AR,stairsu
1/8/2020 19:24,1623,1.5361938,2.7158508,10.892136,AR,stairsu
1/8/2020 19:24,1633,1.9405823,2.1559296,11.224731,AR,stairsu
1/8/2020 19:24,1643,1.9286194,1.9046936,11.401794,AR,stairsu
1/8/2020 19:24,1653,1.804184,1.7156525,11.452057,AR,stairsu
1/8/2020 19:24,1663,1.5840454,1.6319122,11.447266,AR,stairsu
1/8/2020 19:24,1673,1.380661,1.529007,11.521439,AR,stairsu
1/8/2020 19:24,1683,0.71066284,2.0889282,11.255844,AR,stairsu
1/8/2020 19:24,1694,0.78245544,1.7682953,10.305893,AR,stairsu
1/8/2020 19:24,1703,1.146164,1.7874451,9.516251,AR,stairsu
1/8/2020 19:24,1713,0.99302673,2.0003967,9.336792,AR,stairsu
1/8/2020 19:24,1724,0.5359955,1.8065796,8.745773,AR,stairsu
1/8/2020 19:24,1733,0.72502136,1.931015,8.807983,AR,stairsu
1/8/2020 19:24,1746,0.8183441,1.8640137,9.355942,AR,stairsu
1/8/2020 19:24,1753,1.1126556,1.4404755,10.58107,AR,stairsu
1/8/2020 19:24,1764,1.2179413,1.2107697,11.030914,AR,stairsu
1/8/2020 19:24,1773,1.0815582,0.7728882,10.415955,AR,stairsu
1/8/2020 19:24,1783,1.3997955,0.5934143,10.001999,AR,stairsu
1/8/2020 19:24,1793,2.1176453,1.5912323,9.934998,AR,stairsu
1/8/2020 19:24,1804,1.9884338,1.7108612,8.650055,AR,stairsu
1/8/2020 19:24,1813,1.9716797,1.627121,7.2717896,AR,stairsu
1/8/2020 19:24,1823,1.861618,1.8305054,6.221344,AR,stairsu
1/8/2020 19:24,1833,1.8257294,2.4311066,6.3314056,AR,stairsu
1/8/2020 19:24,1844,2.1128693,1.2346954,7.1234283,AR,stairsu
1/8/2020 19:24,1853,1.483551,1.4955139,7.7886353,AR,stairsu
1/8/2020 19:24,1863,0.36131287,2.5172424,10.2508545,AR,stairsu
1/8/2020 19:24,1874,-0.45942688,2.2875366,10.200607,AR,stairsu
1/8/2020 19:24,1883,-0.61735535,1.907074,10.186249,AR,stairsu
1/8/2020 19:24,1893,-0.76330566,1.6821594,9.920639,AR,stairsu
1/8/2020 19:24,1904,0.15553284,1.5960083,9.645462,AR,stairsu
1/8/2020 19:24,1913,0.6197357,1.2969055,9.39183,AR,stairsu
1/8/2020 19:24,1923,0.6699829,0.5312042,9.1453705,AR,stairsu
