Timestamp,Milliseconds,X,Y,Z
2020-01-09 12:00:48,8102,-10.791626,-8.300705,2.0410767
2020-01-09 12:00:49,8201,-8.604584,-11.047668,0.55513
2020-01-09 12:00:49,8301,-6.742981,-8.985046,1.4859467
2020-01-09 12:00:49,8402,-3.6107635,-9.040085,0.90448
2020-01-09 12:00:49,8501,-4.9292145,-8.819946,1.1629181
2020-01-09 12:00:49,8601,-5.728424,-11.088333,0.117248535
2020-01-09 12:00:49,8701,-7.824524,-5.596817,-2.7708893
2020-01-09 12:00:49,8802,-7.5804596,-6.6711884,-3.7495575
2020-01-09 12:00:49,8901,-7.178467,-6.9918213,-1.9692993
2020-01-09 12:00:49,9001,-9.607178,-5.3982086,-1.9118652
2020-01-09 12:00:49,9102,-10.19104,-5.934204,1.2681885
2020-01-09 12:00:50,9201,-9.114258,-9.71965,2.1750793
2020-01-09 12:00:50,9301,-9.131012,-11.85405,0.9882355
2020-01-09 12:00:50,9401,-6.6711884,-9.485153,2.096115
2020-01-09 12:00:50,9501,-3.8285217,-10.013962,0.46899414
2020-01-09 12:00:50,9602,-3.625122,-9.839294,0.36849976
2020-01-09 12:00:50,9701,-3.2996979,-10.291534,-1.586441
2020-01-09 12:00:50,9801,-7.1234283,-6.972687,-4.886139
2020-01-09 12:00:50,9901,-8.7960205,-7.5756836,-5.7547455
2020-01-09 12:00:50,10001,-7.6091766,-7.176071,-0.5024872
2020-01-09 12:00:50,10101,-7.3244324,-7.2263184,0.7393799
2020-01-09 12:00:51,10202,-8.611771,-7.697708,1.660614
2020-01-09 12:00:51,10301,-11.016556,-8.738586,1.6486511
2020-01-09 12:00:51,10401,-8.384445,-8.829514,-0.6963043
2020-01-09 12:00:51,10501,-6.948761,-9.913467,1.351944
2020-01-09 12:00:51,10601,-3.4815521,-8.504089,-1.2849426
2020-01-09 12:00:51,10702,-4.5009003,-7.5350037,-0.92362976
2020-01-09 12:00:51,10801,-3.534195,-8.784058,-0.088531494
2020-01-09 12:00:51,10902,-4.651642,-8.882156,-0.23928833
2020-01-09 12:00:51,11001,-9.463608,-8.140381,-2.5842438
2020-01-09 12:00:51,11101,-6.6376953,-6.8650055,1.134201
2020-01-09 12:00:52,11202,-5.9413757,-7.1593323,0.72024536
2020-01-09 12:00:52,11301,-7.3124695,-7.310074,1.0887299
2020-01-09 12:00:52,11401,-10.112076,-8.762512,-0.22253418
2020-01-09 12:00:52,11501,-9.609573,-6.448654,0.6628113
2020-01-09 12:00:52,11602,-8.310272,-8.886948,-0.45224
2020-01-09 12:00:52,11701,-4.3740845,-7.8221436,-0.04547119
2020-01-09 12:00:52,11801,-3.8237305,-7.6498566,0.112457275
2020-01-09 12:00:52,11901,-4.7401886,-9.044876,0.59103394
2020-01-09 12:00:52,12002,-6.0012054,-9.796219,-2.4311066
2020-01-09 12:00:52,12101,-6.7333984,-7.549362,-2.3928223
2020-01-09 12:00:53,12201,-6.3625183,-6.7046967,-1.1892395
2020-01-09 12:00:53,12301,-6.1040955,-7.1210327,-0.5240326
2020-01-09 12:00:53,12402,-7.6498566,-7.1569366,0.37327576
2020-01-09 12:00:53,12502,-10.88974,-7.932205,-0.48095703
2020-01-09 12:00:53,12601,-9.181259,-8.822342,0.0
2020-01-09 12:00:53,12701,-5.7379913,-8.841476,0.07417297
2020-01-09 12:00:53,12801,-5.3647156,-7.8963165,1.8113708
2020-01-09 12:00:53,12902,-5.0081787,-7.9657135,1.3567352
2020-01-09 12:00:53,13001,-5.01297,-9.135803,2.1391907
2020-01-09 12:00:53,13102,-5.161316,-10.731812,0.9786682
2020-01-09 12:00:54,13201,-5.584854,-5.54895,-0.447464
2020-01-09 12:00:54,13301,-7.216751,-7.9489594,-6.2572327
2020-01-09 12:00:54,13401,-6.7740784,-7.085144,-2.0482635
2020-01-09 12:00:54,13502,-5.6063843,-6.731003,0.8039856
2020-01-09 12:00:54,13601,-5.6039886,-7.8508453,0.45942688
2020-01-09 12:00:54,13702,-7.905884,-9.6957245,0.7393799
2020-01-09 12:00:54,13806,-8.901306,-6.4582214,1.483551
2020-01-09 12:00:54,13902,-7.166504,-9.174088,-0.68434143
2020-01-09 12:00:54,14001,-4.1204376,-7.757538,-0.26081848
2020-01-09 12:00:54,14101,-3.883545,-6.8769684,-0.91166687
2020-01-09 12:00:55,14202,-4.2927246,-9.549759,0.17706299
2020-01-09 12:00:55,14301,-6.3505554,-12.447464,-1.7706909
2020-01-09 12:00:55,14401,-9.111862,-5.883957,-0.5694885
2020-01-09 12:00:55,14501,-5.297714,-7.2933197,1.138977
2020-01-09 12:00:55,14602,-4.790436,-6.798004,0.8494568
2020-01-09 12:00:55,14701,-7.5397797,-6.419937,0.79441833
2020-01-09 12:00:55,14801,-9.224335,-6.714264,0.100494385
2020-01-09 12:00:55,14902,-9.86322,-9.267395,1.5409851
2020-01-09 12:00:55,15001,-7.446457,-7.290924,-0.31106567
2020-01-09 12:00:55,15102,-6.1902313,-6.7046967,0.46420288
2020-01-09 12:00:56,15204,-5.6805573,-7.733597,0.61016846
2020-01-09 12:00:56,15301,-6.312271,-9.731613,1.8257294
2020-01-09 12:00:56,15402,-5.69252,-10.269989,-0.21774292
2020-01-09 12:00:56,15501,-5.4843445,-6.1997986,-1.976471
2020-01-09 12:00:56,15601,-7.549362,-5.9198456,-4.93161
2020-01-09 12:00:56,15702,-6.0586243,-6.7046967,-0.54556274
2020-01-09 12:00:56,15801,-7.9465637,-7.022934,0.5144501
