,Date_time,X,Y,Z,Profile,Activity,ts
57,2020-01-07 13:33:25.017,0.028030000000000003,-0.823059,-0.565872,MG,standing,1578404005
58,2020-01-07 13:33:25.117,0.025726,-0.8249209999999999,-0.561966,MG,standing,1578404005
59,2020-01-07 13:33:25.217,0.029205000000000002,-0.8252870000000001,-0.563675,MG,standing,1578404005
60,2020-01-07 13:33:25.316,0.028824000000000002,-0.8238219999999999,-0.566422,MG,standing,1578404005
61,2020-01-07 13:33:25.417,0.031555,-0.8243870000000001,-0.567612,MG,standing,1578404005
62,2020-01-07 13:33:25.517,0.029297000000000004,-0.823441,-0.567749,MG,standing,1578404005
63,2020-01-07 13:33:25.617,0.028244,-0.8235319999999999,-0.566376,MG,standing,1578404005
64,2020-01-07 13:33:25.717,0.028793,-0.8225399999999999,-0.5708310000000001,MG,standing,1578404005
65,2020-01-07 13:33:25.817,0.028641000000000003,-0.8225399999999999,-0.569489,MG,standing,1578404005
66,2020-01-07 13:33:25.916,0.031799,-0.8246,-0.5697479999999999,MG,standing,1578404005
67,2020-01-07 13:33:26.016,0.030518,-0.8230290000000001,-0.5706479999999999,MG,standing,1578404006
68,2020-01-07 13:33:26.117,0.029602,-0.8232879999999999,-0.570541,MG,standing,1578404006
69,2020-01-07 13:33:26.216,0.029251,-0.824097,-0.571793,MG,standing,1578404006
70,2020-01-07 13:33:26.316,0.025833,-0.8215790000000001,-0.5670930000000001,MG,standing,1578404006
71,2020-01-07 13:33:26.416,0.029526,-0.823471,-0.5706939999999999,MG,standing,1578404006
72,2020-01-07 13:33:26.516,0.027435,-0.8249209999999999,-0.564453,MG,standing,1578404006
73,2020-01-07 13:33:26.616,0.028198,-0.8250270000000001,-0.567368,MG,standing,1578404006
74,2020-01-07 13:33:26.716,0.031448000000000004,-0.826889,-0.5690609999999999,MG,standing,1578404006
75,2020-01-07 13:33:26.816,0.02951,-0.8251649999999999,-0.5683590000000001,MG,standing,1578404006
76,2020-01-07 13:33:26.916,0.028442000000000002,-0.824051,-0.564941,MG,standing,1578404006
77,2020-01-07 13:33:27.016,0.026337,-0.823349,-0.562195,MG,standing,1578404007
78,2020-01-07 13:33:27.116,0.028914999999999996,-0.824982,-0.5629430000000001,MG,standing,1578404007
79,2020-01-07 13:33:27.216,0.029983999999999997,-0.826126,-0.565948,MG,standing,1578404007
80,2020-01-07 13:33:27.316,0.029189999999999997,-0.8258969999999999,-0.565567,MG,standing,1578404007
81,2020-01-07 13:33:27.416,0.025925,-0.825974,-0.562088,MG,standing,1578404007
82,2020-01-07 13:33:27.516,0.030014,-0.8236540000000001,-0.566559,MG,standing,1578404007
83,2020-01-07 13:33:27.616,0.027634,-0.825333,-0.561203,MG,standing,1578404007
84,2020-01-07 13:33:27.716,0.028412,-0.8271940000000001,-0.5639649999999999,MG,standing,1578404007
85,2020-01-07 13:33:27.816,0.030746,-0.825348,-0.567856,MG,standing,1578404007
86,2020-01-07 13:33:27.916,0.029449,-0.8270719999999999,-0.569489,MG,standing,1578404007
87,2020-01-07 13:33:28.016,0.027466,-0.8248139999999999,-0.5681,MG,standing,1578404008
88,2020-01-07 13:33:28.116,0.031891,-0.8214110000000001,-0.568909,MG,standing,1578404008
89,2020-01-07 13:33:28.216,0.032043,-0.822876,-0.5677949999999999,MG,standing,1578404008
90,2020-01-07 13:33:28.316,0.032227,-0.819901,-0.572617,MG,standing,1578404008
91,2020-01-07 13:33:28.416,0.031157999999999998,-0.822617,-0.569412,MG,standing,1578404008
92,2020-01-07 13:33:28.516,0.032776,-0.8204799999999999,-0.570724,MG,standing,1578404008
93,2020-01-07 13:33:28.616,0.033142000000000005,-0.820465,-0.571869,MG,standing,1578404008
94,2020-01-07 13:33:28.716,0.031508999999999995,-0.82196,-0.569275,MG,standing,1578404008
95,2020-01-07 13:33:28.816,0.032669,-0.822418,-0.5728300000000001,MG,standing,1578404008
96,2020-01-07 13:33:28.916,0.031052,-0.8220370000000001,-0.57048,MG,standing,1578404008
97,2020-01-07 13:33:29.016,0.029053,-0.819901,-0.5644680000000001,MG,standing,1578404009
98,2020-01-07 13:33:29.116,0.033707,-0.822891,-0.5673520000000001,MG,standing,1578404009
99,2020-01-07 13:33:29.216,0.032471,-0.8247680000000001,-0.569717,MG,standing,1578404009
100,2020-01-07 13:33:29.316,0.033081,-0.823349,-0.567917,MG,standing,1578404009
101,2020-01-07 13:33:29.416,0.03244,-0.8222959999999999,-0.5652010000000001,MG,standing,1578404009
102,2020-01-07 13:33:29.516,0.034102999999999994,-0.8237760000000001,-0.567642,MG,standing,1578404009
103,2020-01-07 13:33:29.616,0.03299,-0.8225399999999999,-0.567612,MG,standing,1578404009
104,2020-01-07 13:33:29.716,0.0336,-0.822235,-0.5709380000000001,MG,standing,1578404009
105,2020-01-07 13:33:29.816,0.033905000000000005,-0.821716,-0.568253,MG,standing,1578404009
106,2020-01-07 13:33:29.916,0.034881999999999996,-0.8228,-0.5689390000000001,MG,standing,1578404009
107,2020-01-07 13:33:30.016,0.035751,-0.8231809999999999,-0.569168,MG,standing,1578404010
108,2020-01-07 13:33:30.116,0.034363,-0.822983,-0.5706939999999999,MG,standing,1578404010
109,2020-01-07 13:33:30.216,0.036179,-0.82283,-0.565735,MG,standing,1578404010
110,2020-01-07 13:33:30.315,0.032516,-0.8208770000000001,-0.5681609999999999,MG,standing,1578404010
111,2020-01-07 13:33:30.415,0.036072,-0.824509,-0.565125,MG,standing,1578404010
112,2020-01-07 13:33:30.515,0.034729,-0.8237760000000001,-0.572113,MG,standing,1578404010
113,2020-01-07 13:33:30.615,0.034575999999999996,-0.821182,-0.571472,MG,standing,1578404010
114,2020-01-07 13:33:30.715,0.034607,-0.820419,-0.568863,MG,standing,1578404010
115,2020-01-07 13:33:30.815,0.034821,-0.822327,-0.569077,MG,standing,1578404010
116,2020-01-07 13:33:30.915,0.035004,-0.821793,-0.567902,MG,standing,1578404010
117,2020-01-07 13:33:31.015,0.037308,-0.8212430000000001,-0.571457,MG,standing,1578404011
118,2020-01-07 13:33:31.115,0.035263,-0.8222959999999999,-0.570709,MG,standing,1578404011
119,2020-01-07 13:33:31.215,0.039291,-0.822083,-0.571045,MG,standing,1578404011
120,2020-01-07 13:33:31.315,0.036835,-0.8240049999999999,-0.569397,MG,standing,1578404011
121,2020-01-07 13:33:31.415,0.03801,-0.8215180000000001,-0.5689850000000001,MG,standing,1578404011
122,2020-01-07 13:33:31.515,0.03476,-0.8216399999999999,-0.5659029999999999,MG,standing,1578404011
123,2020-01-07 13:33:31.615,0.037384,-0.822205,-0.563919,MG,standing,1578404011
124,2020-01-07 13:33:31.715,0.038742,-0.8227389999999999,-0.572433,MG,standing,1578404011
125,2020-01-07 13:33:31.815,0.037704,-0.822357,-0.570038,MG,standing,1578404011
126,2020-01-07 13:33:31.915,0.03743,-0.8224950000000001,-0.571487,MG,standing,1578404011
127,2020-01-07 13:33:32.015,0.038086,-0.821915,-0.57077,MG,standing,1578404012
128,2020-01-07 13:33:32.116,0.037231,-0.8235469999999999,-0.565369,MG,standing,1578404012
129,2020-01-07 13:33:32.216,0.040253,-0.822845,-0.566956,MG,standing,1578404012
130,2020-01-07 13:33:32.316,0.036987,-0.821106,-0.571701,MG,standing,1578404012
131,2020-01-07 13:33:32.416,0.037918,-0.820084,-0.56572,MG,standing,1578404012
132,2020-01-07 13:33:32.516,0.037186000000000004,-0.8207700000000001,-0.5622560000000001,MG,standing,1578404012
133,2020-01-07 13:33:32.617,0.038635,-0.8224030000000001,-0.568573,MG,standing,1578404012
134,2020-01-07 13:33:32.717,0.038605,-0.8226319999999999,-0.571091,MG,standing,1578404012
135,2020-01-07 13:33:32.817,0.039124,-0.821625,-0.5639649999999999,MG,standing,1578404012
136,2020-01-07 13:33:32.917,0.038238999999999995,-0.823227,-0.5671390000000001,MG,standing,1578404012
137,2020-01-07 13:33:33.017,0.040512,-0.821915,-0.567947,MG,standing,1578404013
138,2020-01-07 13:33:33.118,0.035629,-0.821793,-0.568787,MG,standing,1578404013
139,2020-01-07 13:33:33.218,0.037643,-0.822067,-0.5623779999999999,MG,standing,1578404013
140,2020-01-07 13:33:33.318,0.040482,-0.8219299999999999,-0.5699310000000001,MG,standing,1578404013
141,2020-01-07 13:33:33.418,0.040756,-0.822815,-0.578278,MG,standing,1578404013
142,2020-01-07 13:33:33.519,0.037506,-0.8208469999999999,-0.567368,MG,standing,1578404013
143,2020-01-07 13:33:33.619,0.039307,-0.8202360000000001,-0.570847,MG,standing,1578404013
144,2020-01-07 13:33:33.719,0.038605,-0.8202969999999999,-0.571915,MG,standing,1578404013
145,2020-01-07 13:33:33.819,0.038223,-0.8202360000000001,-0.572739,MG,standing,1578404013
146,2020-01-07 13:33:33.919,0.039017,-0.8191069999999999,-0.569183,MG,standing,1578404013
147,2020-01-07 13:33:34.019,0.036209,-0.819901,-0.56572,MG,standing,1578404014
148,2020-01-07 13:33:34.120,0.039581,-0.8224030000000001,-0.572113,MG,standing,1578404014
149,2020-01-07 13:33:34.220,0.039642000000000004,-0.8215180000000001,-0.571945,MG,standing,1578404014
150,2020-01-07 13:33:34.320,0.038376,-0.82019,-0.569443,MG,standing,1578404014
151,2020-01-07 13:33:34.420,0.040482,-0.818665,-0.568573,MG,standing,1578404014
152,2020-01-07 13:33:34.520,0.03746,-0.821274,-0.568481,MG,standing,1578404014
153,2020-01-07 13:33:34.621,0.037598,-0.8206180000000001,-0.573029,MG,standing,1578404014
