time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
5.144262,0.003425,-0.001091,0.007882
5.174254,0.003925,0.001360,0.008077
5.214243,0.006090,0.001690,0.006467
5.244235,0.011256,-0.001023,0.006309
5.274227,0.007111,0.001292,0.008580
5.314216,0.010127,0.000791,0.008442
5.344207,0.013303,-0.002290,0.007373
5.374199,0.016212,-0.002320,0.007436
5.414188,0.015265,-0.002540,0.006942
5.444180,0.018373,-0.005056,0.007256
5.474172,0.009325,0.001317,0.006193
5.514161,0.025053,-0.011277,0.009345
5.544153,0.013273,-0.001701,0.011579
5.574145,-0.000626,0.001227,0.006079
5.614134,-0.002635,0.000786,0.005324
5.644126,0.009847,0.000570,0.010107
5.674117,0.015921,0.000453,0.007157
5.714106,0.017858,0.000079,0.006894
5.744098,0.013737,0.000802,0.004418
5.774090,0.003071,0.003748,0.006380
5.814079,0.006844,0.004976,0.008749
5.844071,0.024921,0.000150,0.006526
5.874063,0.034849,-0.004674,0.008324
5.914052,0.026560,-0.002867,0.008596
5.944044,0.025616,-0.003476,0.009180
5.974035,0.015604,-0.001246,0.008000
6.014025,0.009635,0.001058,0.010725
6.044016,0.001975,0.000322,0.006746
6.074008,0.008975,-0.002418,0.006999
6.114001,0.010701,-0.002101,0.006433
6.143993,0.013718,-0.005963,0.007164
6.173985,0.017878,-0.007445,0.008138
6.213974,0.027271,-0.006455,0.006039
6.243966,0.027324,-0.006925,0.005730
6.273958,0.024942,-0.002431,0.007786
6.313947,0.013885,0.000826,0.007350
6.343938,0.005825,-0.003177,0.005970
6.373930,0.002762,0.001140,0.006456
6.413919,0.009658,0.001932,0.009562
6.443911,0.011082,-0.002096,0.007217
6.473903,0.013145,-0.001070,0.007399
6.513892,0.012479,-0.001437,0.005579
6.543884,0.003863,-0.001258,0.008616
6.573876,-0.003639,0.002771,0.007794
6.613865,-0.010986,0.002572,0.006514
6.643856,-0.009580,-0.000327,0.005939
6.673848,0.001997,-0.000757,0.007242
6.713837,0.017090,-0.002978,0.005983
6.743829,0.015844,-0.001469,0.006398
6.773821,0.020347,-0.000331,0.011526
6.813810,0.013751,-0.000032,0.007792
6.843802,0.006331,0.002589,0.007792
6.873793,0.003893,0.005342,0.009032
6.913783,0.002770,-0.000613,0.006763
6.943774,0.004683,-0.000463,0.004999
6.973766,0.004759,0.000464,0.003975
7.013755,0.005521,0.001992,0.008293
7.043747,-0.000566,0.005029,0.004634
7.073739,-0.009862,0.003932,0.006026
7.113729,-0.010396,0.007531,0.005548
7.143721,-0.003907,0.007175,0.007618
7.173712,-0.002201,0.005233,0.008370
7.213702,-0.008583,0.006278,0.005824
7.243693,-0.012834,0.006661,0.006778
7.273685,-0.016925,0.009788,0.007310
7.313674,-0.022095,0.012521,0.005140
7.343666,-0.021493,0.014984,0.006510
7.373658,-0.009687,0.010783,0.009165
7.413647,0.004814,0.002522,0.009148
7.443639,0.011690,-0.003797,0.006035
7.473630,0.006787,-0.005399,0.007491
7.513619,0.010271,-0.007905,0.007221
7.543611,0.009961,-0.002423,0.007168
7.573603,0.006785,-0.002509,0.006527
7.613592,0.005993,-0.003258,0.008046
7.643584,0.007268,-0.002134,0.007644
7.673576,0.010132,-0.004753,0.005988
7.713565,0.007881,0.000110,0.007433
7.743557,-0.000179,0.002322,0.007789
7.773548,-0.003983,0.006894,0.008159
7.813537,-0.009555,0.005800,0.006689
7.843529,-0.011867,0.007722,0.007199
7.873521,-0.006349,0.003842,0.009143
7.913510,0.003986,0.002237,0.007153
7.943502,0.007975,0.000496,0.008463
7.973494,0.007166,0.001704,0.007648
8.018482,0.009828,-0.001148,0.009826
8.048474,0.009497,-0.000254,0.006830
8.078466,0.008931,-0.000541,0.007554
8.118450,0.004034,0.001081,0.007250
8.148442,0.009422,-0.002379,0.006893
8.178434,0.005834,-0.000638,0.006841
8.218423,0.011485,-0.000750,0.006358
8.248414,0.008715,-0.003658,0.008550
8.278406,0.006442,-0.000115,0.007860
8.318395,0.004364,0.001534,0.006467
8.348387,0.005619,0.000004,0.006644
8.378379,0.006185,0.003077,0.007140
8.418368,0.008473,0.000506,0.005936
8.448360,0.010948,0.000675,0.007053
8.478351,0.010029,0.003285,0.003049
8.518340,0.005408,0.001648,0.007237
8.548332,0.007515,0.001944,0.008235
8.578322,0.008227,0.001642,0.004497
8.608314,0.006465,-0.001897,0.009179
8.638305,0.008690,0.000813,0.008458
8.678294,0.008584,-0.002579,0.007645
8.708286,0.008691,-0.001646,0.008672
8.738278,0.010943,-0.000822,0.006565
8.778267,0.009397,0.001664,0.007541
8.808259,0.010483,-0.001725,0.007295
8.838251,0.005173,-0.001913,0.005071
8.878240,0.006833,0.000590,0.007982
8.908232,0.010809,-0.001307,0.006283
8.938223,0.010374,-0.002426,0.006672
8.978212,0.010403,0.001195,0.005745
9.008204,0.007164,-0.001711,0.006870
9.038196,0.008870,-0.000610,0.007809
9.078185,0.008490,-0.001189,0.006826
9.108178,0.010391,0.002275,0.010013
9.138169,0.009870,-0.002784,0.008400
9.178159,0.005493,-0.001332,0.004772
9.208150,0.005617,-0.001130,0.007485
9.238142,0.005711,0.000597,0.008859
9.278131,0.007847,-0.000384,0.007773
9.308123,0.007755,0.003118,0.006215
9.338115,0.007886,-0.000424,0.006244
9.378104,0.006559,-0.002644,0.007681
9.408095,0.006106,0.000395,0.009239
9.438087,0.008364,0.001971,0.004964
9.478076,0.007506,0.000904,0.007428
9.508068,0.006150,0.002817,0.006695
9.538060,0.014361,-0.000067,0.006427
9.578049,0.007132,0.001599,0.006276
9.608041,0.006948,-0.002131,0.008948
9.638032,0.004859,0.000617,0.006380
9.678021,0.010125,0.001392,0.008375
9.708013,0.010278,0.001827,0.006738
9.738005,0.007772,0.000638,0.010076
9.777994,0.009725,0.000489,0.006211
9.807986,0.006269,0.000119,0.005043
9.837978,0.010607,0.000243,0.007487
9.877967,0.012272,0.001844,0.006586
9.907958,0.007880,0.002838,0.009146
9.937950,0.005042,0.001331,0.006579
9.977939,0.005047,0.000564,0.008507
10.007931,0.003414,0.002413,0.008734
10.037923,0.004399,0.000192,0.007091
10.077912,0.010762,0.000107,0.008642
10.107903,0.008385,-0.000172,0.008521
10.137894,0.009848,-0.002480,0.006751
10.177883,0.010891,-0.000783,0.005422
10.207875,0.008759,0.001702,0.004303
10.237867,0.005944,0.002544,0.008078
10.277856,0.011486,-0.002409,0.006025
10.307848,0.004325,0.000196,0.007951
10.337839,0.009217,-0.002621,0.008700
10.377828,0.007370,-0.000880,0.006498
10.407820,0.007711,-0.000494,0.006707
10.437812,0.008044,0.001613,0.007514
10.477801,0.008915,0.000595,0.006529
10.507793,0.009093,-0.000808,0.007557
10.537785,0.005959,-0.002540,0.006575
10.577774,0.005541,-0.001034,0.011073
10.607765,0.004028,0.003458,0.008094
10.637757,0.003130,0.003375,0.004388
10.677746,0.017039,-0.002924,0.007019
10.707738,0.008555,0.003540,0.008512
10.737730,0.009282,0.003852,0.006156
10.777719,0.010300,0.002314,0.006619
10.807710,0.015472,-0.000239,0.007168
10.837702,0.016045,-0.002032,0.009401
10.877691,0.014494,0.000050,0.008650
10.907683,0.009212,-0.004503,0.005253
10.937675,-0.002447,-0.004021,0.008788
10.977664,-0.002594,-0.000578,0.007666
11.007656,0.001293,0.002035,0.008189
11.037647,0.004980,0.002772,0.008810
11.077636,0.005539,0.002730,0.008130
11.107629,0.009980,-0.000198,0.008830
11.137621,0.008616,0.002155,0.009993
11.177610,0.006782,0.001238,0.011682
11.207602,0.000509,0.002198,0.008823
11.237593,0.000057,0.001700,0.008922
11.277582,-0.000471,0.000290,0.006155
11.307574,0.002269,-0.000815,0.005207
11.337566,0.003322,0.002010,0.008702
11.377555,0.005911,0.001267,0.007800
11.407547,0.005659,0.002134,0.005591
11.437539,0.004807,0.001513,0.009790
11.477528,0.007823,0.000161,0.007883
11.507519,0.010292,0.001756,0.002904
11.537511,0.011824,-0.002763,0.008952
11.577500,0.010125,-0.001190,0.005987
11.607492,0.009584,0.000174,0.009046
11.637484,0.007176,-0.000029,0.006042
11.677473,0.005959,0.002305,0.006738
11.707464,0.006817,0.003699,0.008881
11.737456,0.008781,-0.000150,0.005966
11.777445,0.007292,-0.005995,0.005895
11.807437,0.001762,-0.000120,0.007740
11.837429,0.008460,-0.002011,0.008093
11.877418,0.004506,0.004000,0.006125
11.907410,0.005420,0.003658,0.005077
11.937401,0.006630,0.002731,0.007500
11.977390,0.012629,-0.004787,0.006769
12.007382,0.010289,-0.001411,0.008445
12.037374,0.007510,0.001385,0.007724
12.077363,0.008699,0.002540,0.007204
12.107355,0.004640,0.000839,0.008100
12.137346,0.005077,0.001297,0.007462
12.177335,0.007462,-0.002002,0.007670
12.207327,0.008532,-0.002410,0.007834
