time_tick,acc_X_value,acc_Y_value,acc_Z_value
4.605561,-0.343431,-9.563830,-2.247936
4.638858,-0.347321,-9.582536,-2.216960
4.672151,-0.352409,-9.567123,-2.160695
4.705548,-0.340138,-9.566374,-2.156953
4.738947,-0.355103,-9.567871,-2.167428
4.772156,-0.340138,-9.563681,-2.215763
4.805486,-0.360191,-9.561586,-2.222347
4.838863,-0.366625,-9.599894,-2.129419
4.872229,-0.366775,-9.613512,-2.021227
4.905561,-0.424387,-9.548716,-2.157103
4.938831,-0.335350,-9.591065,-2.216811
4.972187,-0.366625,-9.580291,-2.049211
5.005565,-0.270255,-9.767494,-2.028859
5.038829,-0.491727,-9.412092,-2.276817
5.072212,-0.509684,-9.352235,-2.452947
5.105514,-0.448181,-9.392190,-2.518491
5.138828,-0.395806,-9.687585,-2.504125
5.172225,-0.515221,-9.522080,-2.473299
5.205548,-0.390867,-9.594956,-2.325302
5.238845,-0.293899,-9.811190,-2.198255
5.272227,-0.296443,-9.769440,-2.266941
5.305544,-0.388473,-9.501729,-2.288789
5.338827,-0.518214,-9.379171,-2.223395
5.372157,-0.501005,-9.542282,-2.304950
5.405552,-0.513575,-9.552906,-2.098593
5.438829,-0.499059,-9.415983,-2.012249
5.472218,-0.403737,-9.509809,-2.086771
5.505514,-0.315597,-9.714970,-1.991448
5.538854,-0.274445,-9.739810,-1.872632
5.572235,-0.349716,-9.600643,-1.966009
5.605544,-0.363932,-9.661547,-1.926503
5.638836,-0.468981,-9.536745,-2.000577
5.672222,-0.518513,-9.481826,-2.135704
5.705582,-0.585852,-9.502477,-2.187032
5.738830,-0.651396,-9.414786,-1.970648
5.772175,-0.577173,-9.481976,-1.886249
5.805606,-0.449228,-9.617702,-1.914382
5.838847,-0.329065,-9.708685,-1.981422
5.872220,-0.196930,-9.779915,-2.107571
5.905502,-0.070482,-9.803708,-2.283102
5.938824,-0.335799,-9.533902,-2.246141
5.972224,-0.584805,-9.259606,-1.918423
6.005508,-0.770362,-9.232072,-1.648317
6.038862,-0.630446,-9.520284,-2.070460
6.072242,-0.605306,-9.693272,-2.080037
6.105597,-0.543503,-9.732328,-1.963315
6.138829,-0.377998,-9.979538,-2.279212
6.172227,-0.359293,-9.899779,-2.339667
6.205622,-0.515969,-9.585080,-2.380969
6.238830,-0.480653,-9.473296,-2.354781
6.272234,-0.571935,-9.454741,-2.080037
6.305545,-0.615182,-9.386803,-1.956432
6.338869,-0.567596,-9.482125,-1.918273
6.372226,-0.437257,-9.519686,-2.130766
6.405546,-0.393411,-9.511156,-2.114455
6.438862,-0.165056,-9.685640,-2.123882
6.472232,0.027235,-9.795627,-2.156505
6.505548,0.021100,-9.822563,-2.178951
6.538868,-0.146500,-9.456985,-1.968553
6.572244,-0.275193,-9.432594,-1.762345
6.605618,-0.228505,-9.627878,-1.869340
6.638855,-0.239429,-9.694918,-1.906451
6.672239,-0.297191,-9.570864,-1.996387
6.705657,-0.295844,-9.668281,-2.059386
6.738894,-0.374556,-9.652718,-2.158749
6.772177,-0.352259,-9.760461,-2.071358
6.805663,-0.425136,-9.638951,-2.144084
6.838879,-0.486639,-9.423914,-2.130018
6.872219,-0.537817,-9.377226,-2.087519
6.905476,-0.558019,-9.397427,-1.994591
6.938622,-0.473770,-9.490356,-1.981273
6.972045,-0.362735,-9.644039,-2.081833
7.005469,-0.327269,-9.624136,-2.091111
7.038516,-0.248856,-9.648379,-2.022125
7.072222,-0.241673,-9.730832,-2.132562
7.105552,-0.283573,-9.654664,-2.131215
7.138878,-0.395955,-9.546023,-2.038885
7.172171,-0.408376,-9.621144,-2.098144
7.205568,-0.347321,-9.587923,-2.266043
7.238798,-0.390568,-9.622939,-2.053401
7.272163,-0.425884,-9.558443,-2.184039
7.305539,-0.414212,-9.511006,-2.332185
7.338841,-0.448779,-9.506816,-2.080785
7.372207,-0.481850,-9.512204,-2.137201
7.405500,-0.502501,-9.541534,-2.047415
7.438836,-0.358096,-9.638203,-2.186433
7.472214,-0.268759,-9.697462,-2.250480
7.505476,-0.265018,-9.673519,-2.162939
7.538819,-0.223267,-9.617403,-2.129419
7.572312,-0.261726,-9.603635,-2.092757
7.605558,-0.259032,-9.592861,-2.061481
7.638867,-0.331609,-9.543329,-2.134806
7.672185,-0.389072,-9.550063,-2.123733
7.705195,-0.363932,-9.592861,-2.254670
7.738866,-0.343131,-9.623388,-2.359121
7.772161,-0.411219,-9.572061,-2.227735
7.805621,-0.454017,-9.570564,-2.103531
7.838825,-0.538715,-9.576101,-2.004318
7.872155,-0.431271,-9.608723,-2.220552
7.905694,-0.337594,-9.615308,-2.421971
7.938889,-0.307816,-9.592263,-2.211423
7.972329,-0.302428,-9.588521,-1.992645
8.005521,-0.262025,-9.656010,-1.918722
8.038831,-0.303177,-9.650623,-1.996087
8.072249,-0.396105,-9.531807,-2.058488
8.105577,-0.420497,-9.379321,-2.266941
8.138906,-0.341635,-9.569068,-2.216960
8.172168,-0.288961,-9.738613,-2.005066
8.205500,-0.251400,-9.755673,-2.032750
8.238850,-0.354803,-9.615607,-2.135704
8.272234,-0.465240,-9.504422,-2.043823
8.305472,-0.532729,-9.430947,-2.017037
8.338830,-0.431421,-9.557096,-2.127773
8.372153,-0.414661,-9.540935,-2.200200
8.405776,-0.378148,-9.569816,-2.059087
8.438825,-0.247958,-9.686538,-2.111612
8.472232,-0.210697,-9.767195,-2.138697
8.505490,-0.275792,-9.697013,-1.920967
8.538199,-0.354504,-9.554253,-2.091559
8.572046,-0.328017,-9.543030,-2.122536
8.605251,-0.423639,-9.487363,-1.916028
8.638844,-0.401193,-9.471650,-1.871584
8.672190,-0.380392,-9.468957,-2.026764
8.705839,-0.312604,-9.577448,-2.095001
8.738823,-0.317842,-9.686538,-1.962118
8.772205,-0.320984,-9.737416,-1.998332
8.805558,-0.388024,-9.706440,-2.069562
8.838824,-0.434114,-9.550662,-2.167578
8.872179,-0.384882,-9.542880,-2.289238
8.905593,-0.408226,-9.491403,-2.095749
8.939090,-0.365877,-9.550811,-1.828786
8.972226,-0.282227,-9.680702,-1.887446
9.005548,-0.273547,-9.757917,-1.989054
9.038823,-0.360789,-9.621742,-2.086771
9.072276,-0.411069,-9.600194,-2.109068
9.105549,-0.428877,-9.599745,-2.017337
9.138842,-0.435611,-9.633265,-2.061332
9.172197,-0.442494,-9.524175,-2.085873
9.205618,-0.503848,-9.486465,-2.124481
9.238834,-0.471974,-9.430648,-2.021527
9.272192,-0.516268,-9.500082,-2.123134
9.305551,-0.467485,-9.541983,-2.035593
9.338851,-0.402839,-9.687435,-1.952392
9.372161,-0.376202,-9.754027,-2.161742
9.405585,-0.374407,-9.622041,-2.002223
9.438748,-0.285968,-9.712575,-2.093654
9.472163,-0.309462,-9.760012,-2.212172
9.505547,-0.474368,-9.478833,-1.866796
9.538871,-0.447732,-9.522978,-2.069861
9.572174,-0.349566,-9.744150,-2.373786
9.605516,-0.355701,-9.633863,-2.250181
9.638831,-0.365428,-9.600792,-2.186283
9.672173,-0.236137,-9.594657,-2.151417
9.705498,-0.266364,-9.655113,-2.095749
9.738834,-0.360490,-9.661996,-1.723139
9.772165,-0.378148,-9.622041,-1.771473
9.805484,-0.607700,-9.669478,-2.102633
9.838828,-0.687759,-9.375280,-1.814421
9.872160,-0.617128,-9.330687,-1.977232
9.905530,-0.309761,-9.687136,-2.224592
9.938811,-0.307816,-9.659901,-2.024968
9.972182,-0.289709,-9.562334,-1.889691
10.005500,-0.160118,-9.727091,-1.938175
10.038887,-0.221023,-9.848302,-1.894779
10.072269,-0.299136,-9.736518,-1.971396
10.105494,-0.450425,-9.498436,-2.022724
10.138813,-0.562059,-9.445612,-2.080037
10.172250,-0.593634,-9.456087,-2.016289
10.205533,-0.622664,-9.487812,-1.940121
10.238815,-0.503997,-9.603336,-2.025567
10.272243,-0.435910,-9.620994,-2.127773
10.305486,-0.489332,-9.540336,-2.089614
10.338825,-0.606204,-9.434240,-1.976334
10.372160,-0.679379,-9.473296,-1.809183
10.405592,-0.532579,-9.608274,-2.040082
10.438816,-0.424836,-9.686089,-2.140792
10.472188,-0.357048,-9.689530,-2.173713
10.505218,-0.252448,-9.727540,-2.124032
10.538817,-0.198427,-9.777820,-2.067766
10.572189,-0.212493,-9.724697,-2.040082
10.605564,-0.243020,-9.602738,-1.920518
10.638883,-0.316944,-9.560389,-1.837466
10.672222,-0.382637,-9.483921,-1.899717
10.705548,-0.503100,-9.431247,-1.964213
10.738821,-0.534225,-9.461924,-1.951344
10.772256,-0.537218,-9.508462,-1.985762
10.805533,-0.469430,-9.657357,-2.081833
10.838910,-0.406879,-9.712426,-2.089016
10.872200,-0.345974,-9.714521,-2.263200
10.905575,-0.291355,-9.656310,-2.240903
10.938884,-0.347770,-9.622490,-2.119393
10.972443,-0.307965,-9.547370,-2.167877
11.005543,-0.335350,-9.583733,-2.139445
11.038896,-0.334751,-9.515945,-2.196758
11.072343,-0.319488,-9.533752,-2.113258
11.105553,-0.303027,-9.554403,-2.066868
11.138948,-0.255441,-9.569517,-2.115802
11.172328,-0.190346,-9.650025,-2.045918
11.205560,-0.145154,-9.625334,-2.039184
11.238884,-0.221771,-9.555600,-1.980973
11.272279,-0.313801,-9.495294,-1.866796
11.305541,-0.321882,-9.595555,-2.071657
11.338869,-0.280431,-9.611267,-2.295972
11.372311,-0.306469,-9.568020,-2.227884
11.405551,-0.281778,-9.540187,-2.193466
11.438923,-0.293749,-9.541085,-2.240305
11.472195,-0.359442,-9.391741,-2.177155
11.505500,-0.313801,-9.368247,-2.133459
11.538869,-0.306469,-9.575353,-2.192120
11.572229,-0.317692,-9.497539,-2.193915
11.605439,-0.188849,-9.618300,-2.456389
11.638817,-0.112531,-9.741905,-2.503526
11.672202,-0.091581,-9.729784,-2.297767
11.705522,-0.073175,-9.597949,-2.390247
11.738878,0.015563,-9.641495,-2.407605
11.772240,-0.000748,-9.687884,-2.320064
11.805482,-0.117470,-9.608424,-2.163089
11.838880,-0.260379,-9.527916,-2.214117
11.872309,-0.413912,-9.409997,-2.321411
11.905488,-0.502052,-9.221747,-2.419876
11.938885,-0.548741,-9.330387,-2.447560
11.972334,-0.478109,-9.408950,-2.464769
12.005487,-0.334602,-9.528964,-2.567125
12.038869,-0.209500,-9.639550,-2.573859
12.072440,-0.173885,-9.697013,-2.548719
12.105561,-0.155329,-9.705093,-2.514899
12.138898,-0.252298,-9.644039,-2.469558
12.172182,-0.345974,-9.507565,-2.454743
12.205487,-0.407478,-9.483322,-2.519089
12.238836,-0.389970,-9.524474,-2.605733
12.272208,-0.429775,-9.540336,-2.543182
12.305545,-0.406879,-9.520284,-2.589422
12.338863,-0.383535,-9.518339,-2.642096
12.372236,-0.401342,-9.443817,-2.549168
12.405407,-0.340887,-9.348494,-2.363760
12.438817,-0.242422,-9.496491,-2.291333
12.472166,-0.231498,-9.603336,-2.212471
12.505531,-0.377848,-9.565327,-1.992945
12.538879,-0.326371,-9.625184,-2.244794
12.571558,-0.272500,-9.605581,-2.637457
12.605494,-0.338343,-9.236561,-2.440228
12.638884,-0.359742,-9.302105,-2.150968
12.672227,-0.193788,-9.448156,-2.387853
12.705485,-0.169994,-9.589868,-2.456988
12.738867,-0.325473,-9.444565,-2.206785
12.772162,-0.407927,-9.424363,-2.158450
12.805528,-0.374706,-9.574006,-2.362862
12.838894,-0.344478,-9.713473,-2.261404
12.872190,-0.250053,-9.697162,-2.451900
12.905516,-0.226260,-9.640747,-2.670079
12.938514,-0.232395,-9.594956,-2.601393
12.971802,-0.113729,-9.478235,-2.417183
13.005124,-0.102505,-9.633115,-2.531510
13.038461,-0.203215,-9.516244,-2.241502
13.071798,-0.393711,-9.409249,-2.002223
13.105111,-0.424537,-9.554403,-2.358522
13.138458,-0.364830,-9.451000,-2.742207
13.172254,-0.347621,-9.405209,-2.618901
13.205533,-0.272201,-9.544526,-2.334879
13.238962,-0.132434,-9.634911,-2.504125
13.272170,-0.149493,-9.604234,-2.446064
13.305521,-0.260828,-9.380667,-2.272927
13.338966,-0.301979,-9.374532,-2.172516
13.372162,-0.200671,-9.605880,-2.379622
13.405497,-0.155629,-9.613063,-2.518491
13.438945,-0.129740,-9.630571,-2.569070
13.472164,-0.163560,-9.608723,-2.565778
13.505683,-0.185857,-9.605132,-2.387853
13.538878,-0.176878,-9.643440,-2.321710
13.572308,-0.223417,-9.534949,-2.385758
13.605553,-0.267562,-9.445313,-2.322459
13.639015,-0.264269,-9.451449,-2.367651
13.672167,-0.226559,-9.522230,-2.589272
13.705494,-0.212643,-9.477187,-2.464919
13.739009,-0.173586,-9.410446,-2.414489
13.772182,-0.227008,-9.464467,-2.262901
13.805353,-0.268759,-9.439926,-2.089764
13.838927,-0.285070,-9.524175,-2.148424
13.872151,-0.229253,-9.689530,-2.402069
13.905518,-0.206956,-9.665588,-2.564282
13.938930,-0.167450,-9.597201,-2.609324
13.972227,-0.202617,-9.611267,-2.492303
14.005517,-0.205310,-9.517591,-2.404762
14.038927,-0.240177,-9.452346,-2.310487
14.072265,-0.262324,-9.450850,-2.304950
14.105522,-0.283723,-9.390693,-2.373636
14.138819,-0.258583,-9.451000,-2.320064
14.172294,-0.189448,-9.451149,-2.282205
14.205536,-0.203814,-9.526719,-2.310637
14.239172,-0.249455,-9.430349,-2.302257
14.272195,-0.273697,-9.457734,-2.177455
14.304967,-0.189598,-9.600942,-2.369147
14.338886,-0.095323,-9.667683,-2.521633
14.372229,-0.105947,-9.626531,-2.528068
14.405575,-0.124204,-9.570415,-2.373187
14.438829,-0.114926,-9.714670,-2.382765
14.472208,-0.188700,-9.552906,-2.345952
14.505700,-0.274146,-9.475541,-2.332634
