time_tick,acc_X_value,acc_Y_value,acc_Z_value
4.802935,0.345825,-0.938112,-9.730682
4.836284,0.343281,-0.942451,-9.744749
4.869670,0.342982,-0.940057,-9.746993
4.903006,0.345675,-0.939907,-9.741457
4.936273,0.347172,-0.942900,-9.747592
4.969680,0.342832,-0.947240,-9.730682
5.003052,0.338193,-0.946342,-9.747293
5.036320,0.349716,-0.934819,-9.744449
5.069592,0.351511,-0.931228,-9.752530
5.103035,0.345077,-0.940356,-9.753278
5.136289,0.344179,-0.940805,-9.748490
5.169609,0.342233,-0.945294,-9.742354
5.203003,0.345974,-0.940207,-9.742803
5.236364,0.354953,-0.911326,-9.733974
5.269627,0.370067,-0.967292,-9.757917
5.302995,0.330711,-0.953525,-9.766148
5.336333,0.344328,-0.934670,-9.715718
5.369591,0.352559,-0.933772,-9.752380
5.402998,0.341485,-0.934520,-9.712875
5.436279,0.350913,-0.942451,-9.730832
5.469608,0.343431,-0.939758,-9.753578
5.503004,0.352409,-0.939309,-9.736818
5.536298,0.346573,-0.928834,-9.721704
5.569013,0.342084,-0.939009,-9.756720
5.603022,0.329963,-0.937363,-9.745796
5.636284,0.345825,-0.940207,-9.738763
5.669600,0.354504,-0.945594,-9.746844
5.703004,0.342533,-0.934520,-9.740708
5.736272,0.344478,-0.947389,-9.743851
5.769604,0.352708,-0.940057,-9.749537
5.803010,0.355552,-0.935568,-9.740110
5.836295,0.348069,-0.937962,-9.742953
5.869594,0.352708,-0.935418,-9.736967
5.902979,0.344777,-0.949335,-9.731430
5.936287,0.347471,-0.934819,-9.738314
5.969633,0.352559,-0.937663,-9.733974
6.003083,0.350913,-0.932724,-9.737566
6.036286,0.337594,-0.931228,-9.735022
6.069600,0.344029,-0.941853,-9.743552
6.103010,0.345376,-0.937513,-9.745796
6.136287,0.351960,-0.935867,-9.739960
6.169663,0.345974,-0.946192,-9.752829
6.203015,0.355402,-0.939309,-9.746544
6.236328,0.342832,-0.935867,-9.734723
6.269603,0.339540,-0.942601,-9.736967
6.303021,0.346124,-0.942302,-9.735770
6.336270,0.349566,-0.947389,-9.739810
6.369622,0.337295,-0.934371,-9.733974
6.402882,0.345526,-0.940805,-9.745497
6.436220,0.340288,-0.944995,-9.747293
6.469658,0.346423,-0.932126,-9.730982
6.502941,0.333704,-0.933024,-9.737117
6.535421,0.339989,-0.938112,-9.747891
6.569652,0.334751,-0.949634,-9.750136
6.602986,0.344179,-0.937214,-9.734274
6.636328,0.348668,-0.945594,-9.730982
6.669659,0.341934,-0.939159,-9.739960
6.702947,0.345077,-0.938261,-9.736668
6.735763,0.340737,-0.943499,-9.725744
6.769593,0.344478,-0.934819,-9.743252
6.802972,0.345675,-0.943948,-9.741905
6.836291,0.336248,-0.948587,-9.746844
6.869658,0.348818,-0.930779,-9.728288
6.902986,0.347321,-0.945893,-9.744599
6.936270,0.343131,-0.940506,-9.745946
6.969595,0.342682,-0.940805,-9.740858
7.003071,0.345226,-0.945145,-9.745048
7.036278,0.347471,-0.946192,-9.742055
7.069598,0.352409,-0.936615,-9.737566
7.102944,0.348518,-0.941404,-9.741457
7.136160,0.347621,-0.937962,-9.735770
7.169608,0.343281,-0.935119,-9.733525
7.202939,0.341635,-0.937513,-9.741457
7.236322,0.347321,-0.943648,-9.743851
7.269595,0.351811,-0.940356,-9.731281
7.302941,0.344777,-0.930629,-9.730982
7.336277,0.337594,-0.937812,-9.740110
7.369603,0.342383,-0.933323,-9.741157
7.402942,0.354953,-0.932575,-9.749687
7.436278,0.350763,-0.941553,-9.732478
7.469619,0.347321,-0.939758,-9.734723
7.502955,0.344628,-0.937064,-9.743252
7.536277,0.346723,-0.933473,-9.733226
7.569603,0.351511,-0.937064,-9.732478
7.602986,0.351062,-0.935418,-9.739062
7.635852,0.341186,-0.940506,-9.737267
7.669600,0.345376,-0.937363,-9.741307
7.703022,0.346723,-0.947240,-9.738464
7.736273,0.347321,-0.941553,-9.732927
7.769609,0.345226,-0.935717,-9.729635
7.802977,0.346274,-0.943499,-9.741157
7.836275,0.343879,-0.930031,-9.740708
7.869601,0.348818,-0.940656,-9.740708
7.902976,0.354803,-0.936914,-9.738763
7.936285,0.350913,-0.936017,-9.742803
7.969603,0.345526,-0.933772,-9.739062
8.002553,0.354803,-0.943349,-9.733226
8.036284,0.342982,-0.948138,-9.740259
8.069610,0.339839,-0.938710,-9.745497
8.102395,0.358844,-0.933024,-9.739362
8.136280,0.349566,-0.946791,-9.749088
8.169606,0.346723,-0.937064,-9.735022
8.203015,0.352858,-0.939608,-9.743701
