time_tick,acc_X_value,acc_Y_value,acc_Z_value
4.566384,-0.226859,-6.872203,-7.109237
4.599655,-0.200372,-6.872801,-7.024390
4.633006,-0.156676,-6.870257,-6.957948
4.666357,-0.135277,-6.899288,-6.911559
4.699625,-0.125999,-6.902281,-6.923081
4.733017,-0.114327,-6.898390,-7.000896
4.766421,-0.186006,-6.833894,-7.000746
4.799624,-0.182714,-6.778825,-7.088137
4.833061,-0.165056,-6.806809,-7.022743
4.866419,-0.156527,-6.889561,-7.027233
4.899738,-0.167450,-6.835241,-7.032171
4.933134,-0.143807,-6.900485,-6.961839
4.966348,-0.110885,-6.915449,-6.976504
4.999613,-0.197080,-6.799177,-7.084995
5.032524,-0.176728,-6.831649,-7.071826
5.066400,-0.192890,-6.817433,-7.073173
5.099712,-0.163560,-6.827310,-7.082002
5.132997,-0.195134,-6.787355,-7.011670
5.166349,-0.191244,-6.796932,-7.004188
5.199728,-0.227757,-6.825215,-6.994012
5.233013,-0.199624,-6.797830,-7.083798
5.266333,-0.230749,-6.773738,-7.096817
5.299707,-0.187503,-6.790198,-7.075717
5.332998,-0.231049,-6.770146,-7.059107
5.366370,-0.222818,-6.775683,-7.081104
5.399705,-0.200671,-6.810251,-7.145002
5.433035,-0.145603,-6.825514,-7.156375
5.466328,-0.198427,-6.802918,-7.103251
5.499692,-0.196182,-6.752039,-7.104897
5.532251,-0.189149,-6.710888,-7.084995
5.566332,-0.230151,-6.772690,-7.013017
5.599706,-0.191244,-6.714180,-7.100857
5.633019,-0.168648,-6.812645,-7.001494
5.666348,-0.093976,-6.882229,-7.078111
5.699644,-0.171341,-6.803068,-7.142308
5.733137,-0.189598,-6.792293,-7.164605
5.766341,-0.196481,-6.825065,-7.151287
5.799655,-0.196032,-6.797381,-7.188997
5.833034,-0.176429,-6.739769,-7.151736
5.866344,-0.245414,-6.723009,-7.031872
5.899342,-0.253944,-6.753835,-6.984435
5.933015,-0.205460,-6.781968,-7.011221
5.966338,-0.157424,-6.801871,-7.092327
5.999625,-0.135277,-6.854096,-7.101156
6.032060,-0.115973,-6.842274,-7.188997
6.066346,-0.176130,-6.843322,-7.067337
6.099653,-0.216084,-6.808305,-7.041000
6.132932,-0.188400,-6.823269,-7.041599
6.166306,-0.235538,-6.792443,-7.043394
6.199631,-0.201270,-6.798578,-7.041449
6.233089,-0.167600,-6.823269,-7.008378
6.266336,-0.192142,-6.871754,-7.037558
6.299657,-0.209500,-6.836288,-6.889561
6.333062,-0.153683,-6.912307,-6.961839
6.366349,-0.130040,-6.932958,-7.040701
6.399676,-0.226110,-6.816386,-7.026036
6.432976,-0.198427,-6.851851,-7.029028
6.466371,-0.177327,-6.887766,-6.981592
6.499625,-0.145752,-6.906471,-6.982789
6.532847,-0.186754,-6.893602,-6.932060
6.566373,-0.231049,-6.910062,-6.863673
6.599709,-0.200970,-6.906621,-6.939542
6.633042,-0.193638,-6.919041,-6.977252
6.666401,-0.160567,-6.916647,-7.050278
6.699667,-0.212044,-6.930264,-6.910511
6.733068,-0.191244,-6.919490,-6.961390
6.766373,-0.231049,-6.901233,-6.878488
6.799635,-0.208004,-6.872352,-6.935502
6.832985,-0.222669,-6.846165,-6.940590
6.866353,-0.244068,-6.842573,-6.846614
6.899707,-0.201270,-6.910960,-6.890010
6.933004,-0.166104,-6.910511,-6.932658
6.966328,-0.151738,-6.949867,-6.907518
6.999678,-0.190944,-6.936400,-6.976055
7.033003,-0.150840,-6.956901,-6.988775
7.066328,-0.225362,-6.906920,-6.979497
7.099636,-0.264120,-6.824766,-6.988026
7.133072,-0.219377,-6.903179,-7.007480
7.166331,-0.155928,-6.885072,-7.054468
7.199555,-0.174035,-6.860830,-7.013166
7.233028,-0.190047,-6.866516,-7.070929
7.266421,-0.212643,-6.891806,-6.856341
7.299632,-0.151439,-6.896894,-6.939093
7.333066,-0.172538,-6.859333,-6.974558
7.366480,-0.186754,-6.901383,-6.879535
7.399683,-0.177177,-6.812944,-7.116270
7.433056,-0.193937,-6.782866,-7.152035
7.466424,-0.211745,-6.772690,-7.107441
7.499641,-0.235837,-6.799027,-6.995808
7.533077,-0.208752,-6.844668,-7.058508
7.566400,-0.194536,-6.807557,-7.102952
7.599625,-0.105947,-6.764310,-7.170291
7.633069,-0.148895,-6.853198,-7.164755
7.666345,-0.169246,-6.772391,-7.075567
7.699648,-0.251251,-6.765058,-6.964832
7.733077,-0.179572,-6.798728,-7.025437
7.766354,-0.220574,-6.779424,-7.063895
7.799635,-0.233742,-6.780023,-7.132731
7.833007,-0.196631,-6.821025,-7.119114
7.866350,-0.185857,-6.822521,-7.108938
7.899646,-0.177776,-6.814441,-7.072575
7.932996,-0.246612,-6.756229,-7.114624
7.966414,-0.317842,-6.745605,-6.972314
7.999664,-0.344179,-6.699515,-7.015710
8.032931,-0.313352,-6.715676,-7.051475
8.066481,-0.208902,-6.780023,-7.223265
8.099675,-0.193488,-6.840179,-7.220871
8.133002,-0.178075,-6.815937,-7.106244
8.165845,-0.236436,-6.805013,-7.033368
8.199685,-0.236436,-6.752189,-7.039055
8.233021,-0.292702,-6.746952,-7.001494
8.266391,-0.254992,-6.719567,-7.074221
8.299727,-0.212044,-6.698617,-7.145750
8.332984,-0.206058,-6.821773,-7.223564
8.366295,-0.218778,-6.755780,-7.196329
8.399764,-0.264868,-6.752937,-7.205607
8.433013,-0.266065,-6.773588,-7.036511
8.466290,-0.277139,-6.663151,-7.152484
8.499735,-0.275044,-6.713432,-7.102503
8.533012,-0.246163,-6.727199,-7.115522
8.566296,-0.229852,-6.786308,-7.135574
8.599733,-0.194087,-6.767153,-7.175978
8.633012,-0.275642,-6.710139,-7.088437
8.666333,-0.266215,-6.712683,-7.071826
8.699730,-0.266664,-6.711337,-7.089784
8.733027,-0.269208,-6.721512,-7.137669
8.766368,-0.255740,-6.745006,-7.188548
8.799734,-0.250802,-6.728695,-7.243916
8.832303,-0.285818,-6.750693,-7.146797
8.866332,-0.228505,-6.802170,-7.177325
8.899733,-0.273996,-6.756529,-7.127045
8.933116,-0.298538,-6.716724,-7.072425
8.966304,-0.263222,-6.700263,-7.115073
8.999739,-0.221771,-6.688591,-7.069582
9.033023,-0.251400,-6.816386,-7.086940
9.066322,-0.288961,-6.733334,-7.087090
9.099742,-0.235987,-6.793939,-7.039204
9.133026,-0.178973,-6.852151,-7.101007
9.166296,-0.266514,-6.751740,-7.135724
9.199735,-0.256338,-6.739020,-7.185405
9.233026,-0.263521,-6.767004,-7.123304
9.266295,-0.236885,-6.771493,-7.083050
9.299668,-0.282975,-6.757427,-7.020798
9.332232,-0.252597,-6.785110,-7.033218
9.366303,-0.233144,-6.812346,-7.080356
9.399661,-0.237034,-6.772241,-7.100408
9.432967,-0.219975,-6.788253,-7.152634
9.466313,-0.208902,-6.799476,-7.089484
9.499665,-0.253495,-6.824616,-7.004188
9.533041,-0.232545,-6.791844,-7.034565
9.566304,-0.237932,-6.784512,-7.024689
9.599657,-0.230749,-6.787804,-7.070480
9.633076,-0.256189,-6.801571,-7.011820
9.666297,-0.160417,-6.822072,-7.083947
9.699736,-0.225512,-6.883127,-7.021247
9.733056,-0.240626,-6.778377,-7.000596
9.766330,-0.249904,-6.808156,-7.054917
9.799737,-0.232695,-6.861428,-7.040252
9.832756,-0.272350,-6.779125,-7.120909
9.866310,-0.304673,-6.749645,-7.114624
9.899740,-0.250353,-6.776730,-7.184358
9.932578,-0.250951,-6.779424,-7.076465
9.966121,-0.221920,-6.785260,-6.961988
9.999739,-0.216833,-6.798429,-6.953010
10.033022,-0.191393,-6.817882,-6.911110
10.066309,-0.183313,-6.840628,-7.011820
10.099747,-0.179123,-6.827609,-7.083199
10.133006,-0.209051,-6.809652,-7.090083
10.166300,-0.241224,-6.789151,-7.100558
10.199747,-0.261875,-6.789899,-7.110434
10.233010,-0.288063,-6.785859,-7.058957
10.265547,-0.246013,-6.792593,-7.095320
10.299758,-0.253495,-6.770445,-7.064494
10.333029,-0.241524,-6.803367,-7.010173
10.366299,-0.197828,-6.794089,-6.986829
10.399033,-0.226559,-6.819678,-7.049679
10.432423,-0.266364,-6.729294,-7.095021
10.466298,-0.254094,-6.728695,-7.141859
10.499736,-0.252897,-6.718669,-7.186004
10.532897,-0.323229,-6.683802,-7.108040
10.566129,-0.271303,-6.767602,-7.120311
10.599413,-0.221472,-6.811148,-7.101755
10.632987,-0.185258,-6.840179,-7.127194
10.666349,-0.180020,-6.744108,-7.184508
10.699674,-0.249006,-6.712534,-7.138417
10.733033,-0.246462,-6.734531,-7.088736
10.766290,-0.254842,-6.713731,-7.116270
10.799663,-0.269357,-6.728396,-7.056712
10.833016,-0.253046,-6.729443,-7.092327
10.866327,-0.247061,-6.715377,-7.144702
10.899741,-0.236436,-6.746652,-7.214586
10.932194,-0.265018,-6.804863,-7.054767
10.966298,-0.179272,-6.724206,-7.289407
10.998968,-0.274595,-6.685748,-7.187650
11.032875,-0.225362,-6.642351,-7.294794
11.066301,-0.256937,-6.661056,-7.126745
11.099727,-0.269507,-6.691434,-7.050128
11.132991,-0.279533,-6.659710,-7.079608
11.166371,-0.240327,-6.770445,-7.085145
11.199687,-0.192441,-6.797681,-7.237631
11.233045,-0.273098,-6.683353,-7.320683
11.266364,-0.278785,-6.625890,-7.277885
11.299687,-0.307516,-6.609579,-7.166401
11.333000,-0.313203,-6.715227,-7.123453
11.366299,-0.260678,-6.702059,-7.073921
11.399763,-0.243469,-6.702807,-7.096218
11.433064,-0.215785,-6.701759,-7.162809
11.466316,-0.233892,-6.691883,-7.158919
11.498729,-0.233593,-6.680959,-7.245711
11.533001,-0.228654,-6.722410,-7.229999
11.566317,-0.191244,-6.642501,-7.270253
11.599667,-0.251550,-6.677218,-7.152484
11.632999,-0.224464,-6.695624,-7.210845
11.666329,-0.249604,-6.676021,-7.147246
11.699680,-0.269956,-6.637862,-7.144553
11.733078,-0.253046,-6.651479,-7.109985
11.766300,-0.184360,-6.681707,-7.204111
11.799740,-0.220424,-6.736776,-7.162809
11.833013,-0.231797,-6.650581,-7.171339
11.866312,-0.296143,-6.641603,-7.133779
11.899770,-0.214289,-6.690536,-7.203662
11.933003,-0.277288,-6.655370,-7.211593
11.966340,-0.275942,-6.718669,-7.229400
11.998885,-0.243020,-6.710738,-7.245263
12.033019,-0.276839,-6.741115,-7.240025
12.065867,-0.280281,-6.674375,-7.216082
12.099775,-0.341186,-6.617061,-7.167299
12.133000,-0.349865,-6.647738,-7.127344
12.166311,-0.322780,-6.677218,-7.125847
12.199675,-0.266514,-6.682605,-7.245113
12.233064,-0.292402,-6.720315,-7.171938
12.266344,-0.264120,-6.713132,-7.214735
12.299755,-0.304523,-6.711636,-7.164904
12.333070,-0.294348,-6.706398,-7.128092
12.366308,-0.257536,-6.733484,-7.165653
12.399741,-0.290307,-6.701460,-7.123004
12.433006,-0.305571,-6.695325,-7.090532
12.466292,-0.283723,-6.692033,-7.149341
12.499662,-0.314101,-6.717173,-7.123004
12.533005,-0.261726,-6.645793,-7.145151
12.566312,-0.278186,-6.743510,-7.104449
12.599633,-0.212493,-6.795436,-7.130187
12.633021,-0.255740,-6.727049,-7.152035
12.665910,-0.276839,-6.736626,-7.140662
12.699099,-0.290307,-6.727498,-7.134227
12.732970,-0.276241,-6.715826,-7.138717
12.766302,-0.261726,-6.720315,-7.078560
12.799695,-0.262324,-6.739918,-7.084845
12.833001,-0.250502,-6.748448,-7.127942
12.866348,-0.282975,-6.740068,-7.122555
12.899686,-0.247360,-6.722111,-7.205607
12.933014,-0.229103,-6.722260,-7.182712
12.966323,-0.237633,-6.753087,-7.113577
12.999691,-0.256338,-6.780023,-7.039354
13.032901,-0.245564,-6.752937,-7.040252
13.066367,-0.244367,-6.733783,-7.089784
13.099716,-0.231947,-6.696372,-7.133330
13.133026,-0.269657,-6.622748,-7.107441
13.166379,-0.229253,-6.703106,-7.111332
13.199659,-0.196332,-6.747700,-7.100408
13.232522,-0.210997,-6.758624,-7.043095
13.266393,-0.179871,-6.762814,-7.110734
13.299671,-0.182415,-6.786158,-7.168645
13.332984,-0.199025,-6.726151,-7.249453
13.366353,-0.293300,-6.606736,-7.243766
13.399649,-0.309013,-6.625142,-7.181515
13.432991,-0.245115,-6.642800,-7.196778
13.466337,-0.207704,-6.697120,-7.104149
13.499671,-0.220723,-6.717173,-7.112978
13.533003,-0.204562,-6.753685,-7.112230
13.566326,-0.183462,-6.739170,-7.165802
13.599662,-0.200372,-6.692182,-7.246310
13.632995,-0.198427,-6.690536,-7.269056
13.666320,-0.246312,-6.655669,-7.237780
13.699709,-0.281628,-6.643548,-7.184358
13.732323,-0.296293,-6.654323,-7.149940
13.766329,-0.277139,-6.663002,-7.151586
13.799680,-0.223866,-6.670035,-7.213239
13.832983,-0.241973,-6.643848,-7.218028
13.866310,-0.209051,-6.702508,-7.201417
13.899715,-0.179572,-6.695474,-7.175230
13.933031,-0.234939,-6.733035,-7.168346
13.966322,-0.266364,-6.629931,-7.183011
13.999693,-0.299286,-6.638011,-7.148743
14.033024,-0.240327,-6.673327,-7.227904
14.066325,-0.260379,-6.636515,-7.272647
14.099713,-0.251699,-6.657465,-7.273545
14.133011,-0.271003,-6.663151,-7.178971
14.166374,-0.235688,-6.679762,-7.185405
14.199699,-0.246612,-6.667192,-7.080356
14.232169,-0.273996,-6.669287,-7.089484
14.265564,-0.252897,-6.695624,-7.159068
14.299642,-0.302728,-6.672878,-7.180467
14.332454,-0.242571,-6.673477,-7.306915
14.366324,-0.280132,-6.676619,-7.260825
14.399666,-0.286866,-6.653275,-7.243616
14.433005,-0.305721,-6.648935,-7.172985
14.466314,-0.294647,-6.666444,-7.136771
14.499634,-0.263671,-6.696372,-7.122256
14.533007,-0.250802,-6.709092,-7.117617
14.566302,-0.301231,-6.634719,-7.177624
14.599649,-0.272350,-6.624993,-7.264118
14.632994,-0.299436,-6.635916,-7.235985
14.666326,-0.274296,-6.631876,-7.179120
14.699636,-0.288362,-6.634121,-7.165054
14.733021,-0.228355,-6.699814,-7.158619
14.766318,-0.172538,-6.712534,-7.254241
14.799733,-0.227008,-6.648187,-7.242719
14.832345,-0.239129,-6.668239,-7.237631
14.866336,-0.216384,-6.646840,-7.207702
14.899729,-0.183911,-6.689938,-7.179420
14.932948,-0.204412,-6.705949,-7.145900
14.966332,-0.209799,-6.718819,-7.131235
14.999732,-0.205909,-6.681857,-7.204111
15.033064,-0.229702,-6.659111,-7.249602
15.066394,-0.225512,-6.688591,-7.242419
15.099736,-0.230001,-6.672729,-7.153980
15.133087,-0.210398,-6.695025,-7.177175
15.166332,-0.219526,-6.739469,-7.144254
15.199740,-0.214738,-6.732436,-7.167448
15.233015,-0.210847,-6.680959,-7.195731
15.266200,-0.263671,-6.671681,-7.125847
15.299646,-0.202617,-6.681408,-7.188997
15.332094,-0.216533,-6.737524,-7.078411
15.366335,-0.231947,-6.719567,-7.081254
15.399672,-0.216683,-6.712234,-7.112380
15.432549,-0.218329,-6.777628,-7.115971
15.465803,-0.179123,-6.793341,-7.205906
15.499658,-0.282227,-6.732885,-7.165952
15.532992,-0.297640,-6.736327,-7.083199
15.566313,-0.257984,-6.728246,-7.121657
15.599671,-0.271003,-6.766854,-7.062997
15.633004,-0.231498,-6.738721,-7.067187
15.666295,-0.232395,-6.746353,-7.042197
15.699734,-0.189598,-6.802619,-7.080206
15.733015,-0.194835,-6.802319,-7.082451
15.766327,-0.201868,-6.822821,-7.085145
15.799679,-0.207106,-6.816536,-7.089185
15.833034,-0.243020,-6.766405,-7.082900
15.866314,-0.270704,-6.752937,-7.072126
15.899733,-0.260079,-6.728396,-7.097565
15.932364,-0.248407,-6.754733,-7.075717
15.966325,-0.250652,-6.737674,-7.022743
15.999647,-0.215037,-6.774486,-7.046387
16.033078,-0.163709,-6.761018,-7.081852
16.066409,-0.239578,-6.754733,-7.040701
16.099691,-0.239878,-6.720614,-7.075717
16.133041,-0.266514,-6.739020,-7.074221
16.166297,-0.198427,-6.772690,-7.188249
16.199670,-0.259780,-6.696821,-7.180318
16.233067,-0.257685,-6.721812,-7.206804
16.266323,-0.253495,-6.679463,-7.174631
16.299667,-0.245564,-6.713731,-7.187351
16.333109,-0.236885,-6.726450,-7.131684
16.366383,-0.231348,-6.736626,-7.158320
16.399686,-0.244217,-6.768201,-7.109985
16.432203,-0.260977,-6.728845,-7.118964
16.466371,-0.203065,-6.671980,-7.148144
16.499657,-0.287614,-6.714778,-7.125698
16.532909,-0.241374,-6.673178,-7.222816
16.566418,-0.291953,-6.676320,-7.176427
16.599725,-0.314549,-6.684102,-7.141560
16.633013,-0.273847,-6.716873,-7.169094
16.666430,-0.306469,-6.717921,-7.095320
16.699698,-0.279084,-6.709541,-7.160565
16.733020,-0.246013,-6.731688,-7.120011
16.766376,-0.310210,-6.748747,-7.160714
16.799676,-0.327568,-6.640705,-7.181814
16.833000,-0.365727,-6.676470,-7.098612
16.866324,-0.257835,-6.755481,-7.182113
16.899656,-0.296443,-6.702358,-7.145750
16.932999,-0.279234,-6.761766,-7.133030
16.966413,-0.319188,-6.733484,-7.066888
16.999646,-0.276839,-6.727199,-7.156524
17.032774,-0.292702,-6.723308,-7.089035
17.066416,-0.295844,-6.704453,-7.156824
17.099653,-0.297341,-6.730341,-7.088287
17.132909,-0.294497,-6.726151,-7.112380
17.166418,-0.279234,-6.725852,-7.144403
17.199671,-0.283124,-6.737075,-7.135874
17.233075,-0.269507,-6.726301,-7.161313
17.266334,-0.267562,-6.715826,-7.122106
17.299665,-0.269507,-6.725253,-7.085893
17.332996,-0.202467,-6.751291,-7.137969
17.366335,-0.264120,-6.738422,-7.115073
17.399713,-0.261127,-6.719866,-7.094572
17.432992,-0.203814,-6.713432,-7.160714
17.466446,-0.300932,-6.754434,-7.131684
17.499728,-0.256338,-6.669736,-7.158470
17.532632,-0.281029,-6.661356,-7.091280
17.566331,-0.209051,-6.772989,-7.120011
17.599687,-0.172688,-6.774486,-7.210845
17.632993,-0.239878,-6.760719,-7.164306
17.666384,-0.237483,-6.730491,-7.194384
17.699411,-0.280880,-6.674375,-7.159068
17.732708,-0.244966,-6.692182,-7.124950
17.766349,-0.281778,-6.670185,-7.125099
17.799656,-0.278635,-6.708344,-7.130486
17.833062,-0.257236,-6.742612,-7.169543
17.866386,-0.225961,-6.787355,-7.199472
17.899633,-0.217880,-6.805163,-7.224013
17.932993,-0.251699,-6.753386,-7.188548
17.966404,-0.310060,-6.711785,-7.150389
17.999645,-0.310359,-6.663151,-7.147695
18.032938,-0.319937,-6.723158,-7.086491
18.066342,-0.305272,-6.726750,-7.083499
18.099639,-0.270106,-6.743959,-7.081703
18.133018,-0.228804,-6.821773,-7.134227
18.166416,-0.261426,-6.773887,-7.165653
18.199728,-0.303925,-6.689040,-7.096817
18.232504,-0.312903,-6.714928,-7.060753
18.266331,-0.279982,-6.799177,-7.021995
18.299610,-0.232545,-6.795436,-7.169543
18.332322,-0.316794,-6.764909,-7.068684
