time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
4.976918,0.012521,-0.008453,0.001115
5.006910,0.046001,0.002682,-0.027394
5.046899,0.035533,0.021835,-0.043782
5.076890,-0.002269,-0.004349,-0.033959
5.106882,-0.035331,-0.007110,-0.011508
5.146871,0.054558,-0.030387,0.073843
5.176863,0.043035,-0.055462,0.087040
5.206854,0.013275,-0.035443,0.067878
5.246843,-0.030813,0.017463,0.030295
5.276835,-0.019272,0.023531,0.008856
5.306827,0.014350,0.016492,0.000679
5.346816,0.031985,0.018156,-0.001632
5.376807,-0.003579,0.013555,0.001693
5.406799,-0.003552,0.019409,0.004925
5.446788,0.013500,0.021175,-0.000499
5.476780,0.008757,0.008161,0.004728
5.506771,-0.001240,-0.003357,-0.002791
5.546760,0.004525,0.006098,-0.022887
5.576752,0.021550,0.015431,-0.020930
5.606744,0.008289,0.007860,-0.008706
5.646733,0.000376,0.011216,0.017251
5.676724,-0.023338,0.016608,0.023902
5.706716,-0.024391,0.001374,0.026443
5.746705,0.016358,-0.010599,0.024803
5.776697,0.037312,-0.012804,0.013086
5.806688,0.027018,-0.025234,0.004951
5.846677,0.016388,-0.014086,-0.021054
5.876669,0.022893,-0.006897,-0.036426
5.906661,0.028963,-0.009762,-0.037929
5.946650,0.027820,-0.016928,-0.014820
5.976641,0.018741,-0.016042,-0.002196
6.006633,0.002845,-0.023775,0.028236
6.046622,0.031069,-0.032388,0.024218
6.076614,0.008741,-0.040735,0.011923
6.106605,0.020475,-0.025383,-0.005141
6.146594,0.006001,0.020696,-0.006446
6.176586,-0.013333,0.018502,-0.001878
6.206578,-0.030786,-0.004051,0.003672
6.246565,0.014027,-0.005439,0.034772
6.276557,0.028533,-0.021555,0.027945
6.306549,0.014307,-0.030908,0.006376
6.346538,0.010347,-0.007313,-0.007991
6.376530,0.017306,-0.000807,-0.009525
6.406521,0.032954,-0.009860,0.016428
6.446510,-0.022860,-0.019686,0.007154
6.476502,0.007008,-0.001296,0.036681
6.506494,0.001966,-0.009993,0.042265
6.546482,-0.034848,-0.013353,0.022203
6.576474,-0.001010,0.005864,0.020438
6.606466,0.019284,-0.003620,0.031632
6.646455,0.008553,-0.014626,0.027900
6.676446,0.035097,-0.008015,0.018123
6.706438,0.035375,-0.000710,0.026509
6.746427,0.015492,0.009207,0.005575
6.776419,-0.011133,0.014757,0.001624
6.806410,0.006162,0.000629,-0.013505
6.846399,0.015228,-0.016480,0.003928
6.876391,0.025574,-0.011727,-0.003613
6.906383,0.040657,-0.009382,-0.012990
6.946372,0.029774,0.006427,0.002569
6.976363,0.000976,0.009619,0.007988
7.006355,0.008070,-0.016606,0.018984
7.046344,-0.008359,-0.037772,0.032219
7.076336,-0.010513,-0.022876,0.012967
7.106327,0.000252,-0.002084,0.010272
7.146316,0.001287,0.003760,0.006768
7.176308,0.003027,-0.009864,0.001042
7.206300,0.010743,-0.006338,0.004487
7.246290,0.007299,-0.002878,0.001616
7.276281,0.015577,0.002758,-0.002355
7.306273,0.019299,0.011681,-0.001156
7.346262,0.025258,-0.002863,0.004643
7.376254,-0.017846,0.001436,0.008063
7.406245,-0.025646,0.005687,0.013098
7.446234,0.009533,-0.026603,-0.005450
7.476226,0.047512,-0.031898,-0.004114
7.506218,0.051642,-0.009044,-0.009977
7.546207,0.013081,-0.002385,-0.007341
7.576198,-0.017572,-0.018544,-0.003049
7.606190,0.001261,-0.007456,-0.000171
7.646179,0.031878,0.001639,0.007872
7.676170,0.021723,0.001307,0.014182
7.706162,0.002700,-0.001999,0.024150
7.746151,-0.016814,-0.001694,0.033304
7.776143,-0.019372,-0.004397,0.020475
7.806134,0.009582,0.000694,-0.004616
7.846123,0.042852,0.024490,-0.014821
7.876115,0.019645,0.037999,-0.004158
7.906107,-0.002623,0.029205,0.008088
7.946096,-0.009758,0.018704,0.032176
7.977338,-0.002846,-0.002384,0.044143
8.017327,0.017365,0.002334,0.041124
8.047319,0.009413,0.010283,0.026092
8.077310,0.014823,0.008983,0.000546
8.117299,0.011133,0.012737,-0.012633
8.147291,0.019687,0.012517,-0.006764
8.177283,0.031391,0.001631,0.004306
8.217272,0.035268,-0.005336,0.023373
8.247262,0.008907,0.002326,0.024966
8.277254,-0.007306,0.009550,0.019137
8.317243,0.022723,0.011464,0.013741
8.347234,0.023562,0.010576,0.006606
8.377226,0.034684,0.003792,0.001050
8.417215,0.011439,0.005582,0.013438
8.447207,0.008101,0.025274,0.016430
8.477198,-0.004561,0.013091,0.014893
8.517187,0.021439,-0.010060,0.018521
8.537180,0.017276,-0.005520,0.016654
8.577169,-0.001471,0.013287,0.008148
8.607161,0.004316,0.013646,0.010198
8.637153,-0.003254,0.007200,0.005881
8.677142,0.022371,0.002625,0.000668
8.707133,0.008040,-0.002178,0.003920
8.737125,0.004604,-0.002251,0.019924
8.777114,-0.003019,-0.002064,0.026986
8.807106,-0.011659,-0.005220,0.018367
8.837097,0.015590,0.001124,0.008662
8.877086,-0.001247,0.017276,-0.002385
8.907078,0.015627,0.010900,-0.011122
8.937070,0.006897,0.004235,-0.007492
8.977058,0.013429,-0.007275,0.010568
9.007050,-0.002266,-0.009317,0.020366
9.037042,-0.012230,-0.000078,0.031030
9.077031,-0.026457,0.001938,0.021120
9.107022,0.015596,0.010879,0.014577
9.137014,0.003263,0.002201,0.005183
9.177003,-0.019705,0.007948,-0.002965
9.206995,0.006848,0.018747,0.006515
9.236987,0.014591,0.000220,0.013764
9.276976,0.017887,-0.008359,0.011400
9.306968,-0.003551,0.004015,0.009297
9.336960,0.004147,0.019455,0.013817
9.376949,0.016822,0.010732,0.012378
9.406940,0.001594,-0.013700,0.012530
9.436932,-0.006332,-0.001598,0.010128
9.476921,0.028594,0.008809,0.005732
9.506912,0.032071,-0.004071,0.005435
9.536904,0.033161,-0.010275,0.014658
9.576893,0.014018,0.000789,0.012691
9.606885,0.014010,0.005312,0.008035
9.636876,0.003033,0.000817,0.001100
9.676865,0.020468,0.007946,0.003395
9.706857,0.020133,0.008292,0.009035
9.736849,-0.001077,0.004442,0.015967
9.776838,0.005296,0.003753,0.010880
9.806829,0.009966,0.002105,0.007353
9.836821,0.022336,-0.004112,0.003336
9.876810,0.017872,0.003020,-0.000613
9.906801,0.002820,0.009534,-0.003169
9.936793,0.007250,0.009322,0.006249
9.976782,-0.018920,-0.001328,0.007634
10.006774,0.032785,-0.006697,0.003219
10.036765,0.039403,-0.003225,-0.002884
10.076754,0.010677,0.011176,-0.001270
10.106746,-0.004710,0.014712,-0.007911
10.136738,0.003750,0.016781,0.006401
10.176726,0.035704,0.010258,0.017172
10.206718,0.000413,0.002296,0.002355
10.236709,-0.035576,0.011794,-0.013708
10.276698,0.011729,0.015439,-0.001544
10.306689,0.023848,-0.010497,-0.008503
10.336681,0.029222,-0.022807,-0.008031
10.376670,-0.002744,-0.006045,0.003459
10.406662,-0.001221,0.002882,0.014156
10.436653,0.015765,-0.002846,0.014045
10.476642,0.024830,0.005216,0.019055
10.506634,-0.010763,0.000442,0.014483
10.536626,-0.012847,0.020558,0.014118
10.576614,0.008690,0.017973,0.017151
10.606606,0.002175,-0.011979,0.014088
10.636598,0.003925,-0.008979,0.021228
10.676587,-0.018654,0.019553,0.014472
10.706578,0.010044,0.001335,0.008890
10.736570,0.011712,-0.011371,0.001562
10.776559,0.023494,0.005908,0.003472
10.806551,0.008740,0.005549,0.001774
10.836542,0.016766,0.004928,0.010351
10.876531,0.025635,0.002056,0.007676
10.906523,0.007625,-0.002739,0.010509
10.936515,0.010677,0.003180,0.008248
10.976503,0.018507,0.004263,0.001842
11.006495,0.029784,0.006964,-0.001853
11.036487,0.022172,0.010289,0.002607
11.076476,0.017425,0.018030,0.013402
11.106467,0.017570,0.021451,0.031482
11.136459,-0.002582,0.013365,0.039946
11.176448,-0.003069,0.012748,0.026393
11.206440,0.010555,0.020130,0.012985
11.236432,0.023375,0.006400,0.002315
11.276421,0.007574,0.004630,-0.006378
11.306413,-0.010642,0.013398,0.009058
11.336404,-0.002558,0.010162,0.019781
11.376393,-0.011055,-0.014444,0.021035
11.406385,0.004400,-0.017248,0.032226
11.436377,0.042783,-0.007938,0.022282
11.476366,0.015962,-0.004363,-0.003246
11.506357,-0.001171,0.004015,-0.006942
11.536349,0.009529,0.010756,0.004248
11.576338,0.002043,0.000010,0.026897
11.606329,0.031072,-0.018604,0.035614
11.636321,0.027865,-0.005389,0.023396
11.676310,-0.004730,0.010313,-0.005923
11.706302,-0.001213,0.025163,-0.022772
11.736293,0.027176,0.026166,-0.008412
11.776282,0.014815,-0.002319,0.006805
11.806274,0.007514,-0.013378,0.015912
11.836266,-0.011778,0.004498,0.015460
11.876255,-0.020501,0.004311,0.003650
11.906246,-0.005291,0.000672,0.001728
11.936238,0.015749,0.008953,0.003860
11.977478,0.013120,0.004495,0.007266
12.007469,0.013743,-0.001516,0.008760
12.047458,0.036411,0.003103,0.010736
12.077450,0.019261,0.001330,0.005706
12.117439,-0.002603,0.006736,0.001415
12.147431,0.035058,0.007008,0.015381
12.177422,0.031139,-0.003878,0.013304
12.217411,0.028091,-0.007143,0.007134
12.247403,-0.005083,0.015754,0.007479
12.277394,0.010644,0.015927,0.014935
12.317383,0.012892,-0.001899,0.007495
12.347375,0.009937,0.005822,0.014922
12.377367,0.026942,0.009420,0.015317
12.417356,0.008612,0.001929,0.016298
12.447347,0.000185,-0.000960,0.011265
12.477339,0.022810,0.005882,0.004343
12.517328,0.014182,0.000547,0.004978
12.537320,0.023238,-0.004928,0.002216
12.567312,-0.001295,0.002127,0.001478
12.607300,0.010996,0.005772,0.009625
12.637292,0.013096,-0.008758,0.021644
12.667284,0.009702,-0.004563,0.022118
12.707273,-0.007558,0.004773,0.003447
12.737264,0.027883,0.006318,0.003801
12.767256,0.014593,0.002626,0.003987
12.807245,0.006816,0.000883,0.013319
12.837237,0.010950,-0.004392,0.020900
12.867228,0.009782,-0.013381,0.013632
12.907217,0.019329,-0.006149,0.004559
12.937209,0.020335,-0.011298,-0.008750
12.967201,0.029679,-0.002773,-0.001716
13.007189,0.001672,0.002190,0.003506
13.037181,0.007060,-0.010275,0.002418
13.067173,0.016406,-0.010635,0.014582
13.107162,0.026298,-0.010847,0.009576
13.137153,0.030287,-0.011463,0.007288
13.167145,0.003891,0.000398,0.004543
13.207134,0.003326,0.006926,-0.003392
13.237125,0.015134,0.002793,0.004630
13.267116,0.033662,-0.017142,0.018903
13.307105,0.016926,-0.018319,0.015554
13.337097,0.016307,0.000138,0.011704
13.367089,-0.002552,0.010469,0.014317
13.407077,0.010842,-0.012410,0.009363
13.437069,0.002043,-0.016437,0.003575
13.467061,0.026107,-0.020745,0.006888
13.507050,0.052661,-0.020887,0.006833
13.537041,0.045626,-0.010616,0.004675
13.567033,0.007297,0.003839,-0.016867
13.607022,0.030224,0.043781,-0.019460
13.637014,0.029227,0.030568,0.006924
13.667005,-0.010236,-0.017573,0.058463
13.706994,-0.027668,-0.004693,0.083383
13.736986,-0.030283,0.026680,0.065106
13.766978,0.007467,0.035708,0.032289
13.806966,0.010968,0.025103,-0.032008
13.836958,0.049861,0.035144,-0.077276
13.866950,0.143122,0.078007,-0.089423
13.906939,-0.003413,0.096037,-0.053301
13.936930,-0.065710,0.064559,0.031662
13.966922,-0.075803,0.016015,0.075610
14.006911,-0.058189,-0.018000,0.081576
14.036903,0.019795,-0.023752,0.062171
14.066894,0.015199,0.000269,-0.003195
14.106883,0.052365,0.029427,-0.049894
14.136875,0.072549,0.028924,-0.058319
14.166866,0.051091,0.019370,-0.019982
14.206855,0.036960,-0.042034,0.035193
14.236848,0.018001,-0.048385,0.059885
14.266840,-0.005715,-0.030450,0.045620
14.306829,-0.030867,0.021411,-0.020453
14.336820,0.000383,0.035845,-0.036625
14.366812,0.078102,0.018634,-0.031872
14.406801,0.077483,-0.010675,-0.001588
14.436792,0.088763,-0.019532,0.028076
14.466784,0.059943,-0.010433,0.039625
14.506773,0.048056,0.010092,0.012283
14.536765,0.091002,0.007981,-0.002495
14.566756,0.083010,-0.005438,-0.032808
14.606745,0.027216,0.003328,-0.030198
14.636737,0.021094,0.008464,-0.052597
14.666729,0.057084,0.000073,-0.053876
14.706717,0.078628,-0.053246,0.003734
14.736709,0.056288,-0.058641,0.009578
14.766701,0.042754,-0.018672,0.015071
14.806690,0.003829,-0.023219,0.025962
14.836681,0.024533,-0.036746,0.029133
14.866673,-0.009984,0.001548,-0.005670
14.906662,-0.013368,0.055254,-0.012681
14.936653,-0.019447,0.030546,0.010669
14.966645,-0.040756,0.005002,0.034985
15.006634,-0.000250,0.000188,0.080402
15.036626,0.031010,-0.004691,0.074787
15.066617,0.055730,-0.024268,0.048986
