Time_stamp,Milliseconds,X,Y,Z,Profile,Activity
1/9/2020 19:06,6.901,-0.77526855,5.544174,7.836487,AR,sitting
1/9/2020 19:06,7.003,-2.268402,6.4462585,6.5659027,AR,sitting
1/9/2020 19:06,7.101,-2.7828522,6.754944,2.995819,AR,sitting
1/9/2020 19:06,7.201,-2.8187408,6.374481,7.5086823,AR,sitting
1/9/2020 19:06,7.301,-2.6416779,5.946167,7.4153595,AR,sitting
1/9/2020 19:06,7.402,-1.5553284,5.8169556,7.7479553,AR,sitting
1/9/2020 19:06,7.501,-1.5720825,5.64946,8.516052,AR,sitting
1/9/2020 19:06,7.601,-2.038681,5.659027,8.17627,AR,sitting
1/9/2020 19:06,7.701,-1.7682953,5.745163,7.865204,AR,sitting
1/9/2020 19:06,7.801,-1.935791,5.7690887,8.082962,AR,sitting
1/9/2020 19:06,7.901,-1.7898254,5.790634,7.922638,AR,sitting
1/9/2020 19:06,8.002,-1.9788666,5.8504486,7.688141,AR,sitting
1/9/2020 19:06,8.101,-2.3401794,6.070587,7.802994,AR,sitting
1/9/2020 19:06,8.201,-2.0769653,5.967697,7.585251,AR,sitting
1/9/2020 19:06,8.302,-2.3282166,6.06102,8.015961,AR,sitting
1/9/2020 19:06,8.401,-1.7730865,5.9653015,7.9609222,AR,sitting
1/9/2020 19:06,8.501,-1.4285126,5.864807,7.951355,AR,sitting
1/9/2020 19:06,8.601,-1.1868439,5.9102783,8.087738,AR,sitting
1/9/2020 19:06,8.701,-1.0504456,6.295517,7.451248,AR,sitting
1/9/2020 19:06,8.801,-0.4139557,5.8384857,7.6426697,AR,sitting
1/9/2020 19:06,8.901,-0.39720154,5.8121643,7.697708,AR,sitting
1/9/2020 19:06,9.001,-0.1603241,5.493927,8.547165,AR,sitting
1/9/2020 19:06,9.102,-0.43310547,5.63031,8.078171,AR,sitting
1/9/2020 19:06,9.201,-0.27038574,5.556137,8.3437805,AR,sitting
1/9/2020 19:06,9.301,-0.18664551,5.54657,8.465805,AR,sitting
1/9/2020 19:06,9.401,-0.38046265,5.848053,8.042282,AR,sitting
1/9/2020 19:06,9.502,-0.39720154,5.83609,7.9250336,AR,sitting
1/9/2020 19:06,9.601,-0.41874695,5.8169556,8.209778,AR,sitting
1/9/2020 19:06,9.701,-0.4283142,5.852844,8.066208,AR,sitting
1/9/2020 19:06,9.801,-0.5001068,5.79303,7.9992065,AR,sitting
1/9/2020 19:06,9.901,-0.44984436,5.7882385,8.212173,AR,sitting
1/9/2020 19:06,10.002,-0.75852966,5.7643127,7.527817,AR,sitting
1/9/2020 19:06,10.101,-0.6029968,5.8002014,8.092529,AR,sitting
1/9/2020 19:06,10.201,-0.5886383,5.802597,8.264816,AR,sitting
1/9/2020 19:06,10.301,-0.4355011,5.699707,8.161911,AR,sitting
1/9/2020 19:06,10.401,-0.36849976,5.63031,8.140381,AR,sitting
1/9/2020 19:06,10.501,-0.42352295,5.71167,8.094925,AR,sitting
1/9/2020 19:06,10.601,-0.41874695,5.7308044,8.236099,AR,sitting
1/9/2020 19:06,10.702,-0.4402771,5.7690887,8.035095,AR,sitting
1/9/2020 19:06,10.801,-0.74894714,5.9102783,8.221741,AR,sitting
1/9/2020 19:06,10.901,0.41635132,5.30011,8.295914,AR,sitting
1/9/2020 19:06,11.002,-0.062210083,5.577667,7.975281,AR,sitting
1/9/2020 19:06,11.101,-0.1603241,5.745163,8.295914,AR,sitting
1/9/2020 19:06,11.201,-0.117248535,5.6566315,8.221741,AR,sitting
1/9/2020 19:06,11.301,-0.20817566,5.6661987,8.099701,AR,sitting
1/9/2020 19:06,11.401,-0.25842285,5.5992126,8.2456665,AR,sitting
1/9/2020 19:06,11.502,-0.24645996,5.716461,8.078171,AR,sitting
1/9/2020 19:06,11.601,-0.21774292,5.7021027,8.106888,AR,sitting
1/9/2020 19:06,11.701,-0.3014984,5.71167,8.070984,AR,sitting
1/9/2020 19:06,11.801,0.22970581,5.4915314,8.528015,AR,sitting
1/9/2020 19:06,11.901,-0.18424988,5.7332,7.2550354,AR,sitting
1/9/2020 19:06,12.001,-0.4139557,5.8863373,8.382065,AR,sitting
1/9/2020 19:06,12.102,-0.45224,5.8815613,7.9465637,AR,sitting
1/9/2020 19:06,12.201,-0.20100403,5.7475586,7.9537354,AR,sitting
1/9/2020 19:06,12.301,-0.2416687,5.757126,8.008774,AR,sitting
1/9/2020 19:06,12.402,0.1603241,5.46521,7.7695007,AR,sitting
1/9/2020 19:06,12.501,-0.4091797,5.5322113,7.939392,AR,sitting
1/9/2020 19:06,12.601,-3.2183533,7.0085754,7.367508,AR,sitting
1/9/2020 19:06,12.702,-1.907074,6.6065826,8.554337,AR,sitting
1/9/2020 19:06,12.802,-1.2203369,6.135193,7.075577,AR,sitting
1/9/2020 19:06,12.901,-0.76091003,5.819351,8.075775,AR,sitting
1/9/2020 19:06,13.001,-0.17228699,5.6566315,7.968094,AR,sitting
1/9/2020 19:06,13.101,-0.49531555,5.6063843,8.255234,AR,sitting
1/9/2020 19:06,13.201,-2.7302094,7.097107,5.247467,AR,sitting
1/9/2020 19:06,13.301,-1.7276154,6.0801697,8.561523,AR,sitting
1/9/2020 19:06,13.402,-0.85902405,5.9102783,7.137787,AR,sitting
1/9/2020 19:06,13.501,-1.031311,6.0131683,8.506485,AR,sitting
1/9/2020 19:06,13.601,0.6053772,5.103897,8.817551,AR,sitting
1/9/2020 19:06,13.701,0.39242554,5.1756744,8.257629,AR,sitting
1/9/2020 19:06,13.801,-0.27278137,5.8097687,8.214554,AR,sitting
1/9/2020 19:06,13.902,0.727417,5.441284,8.001602,AR,sitting
1/9/2020 19:06,14.001,0.08375549,5.6853485,8.281555,AR,sitting
1/9/2020 19:06,14.101,-0.18902588,5.682953,7.8747864,AR,sitting
1/9/2020 19:06,14.201,-0.00479126,5.71167,8.295914,AR,sitting
1/9/2020 19:06,14.301,0.18185425,5.46521,8.0733795,AR,sitting
1/9/2020 19:06,14.402,0.1986084,5.6231384,8.054245,AR,sitting
1/9/2020 19:06,14.501,0.047851562,5.8002014,8.338989,AR,sitting
1/9/2020 19:06,14.601,-0.07417297,5.8336945,8.171494,AR,sitting
1/9/2020 19:06,14.701,-0.2632141,5.785843,7.527817,AR,sitting
1/9/2020 19:06,14.801,-0.27278137,5.7762756,8.209778,AR,sitting
