Date_time,X,Y,Z,ts,Profile,Activity
2020-01-09 11:20:09.426,-0.042532,-0.047524,0.024965,1578568809,MG,stand
2020-01-09 11:20:09.526,-0.069271,-0.035683,0.043365,1578568809,MG,stand
2020-01-09 11:20:09.626,-0.06325599999999999,-0.060476,0.025126,1578568809,MG,stand
2020-01-09 11:20:09.726,-0.051301,-0.016038999999999998,-0.014068,1578568809,MG,stand
2020-01-09 11:20:09.826,0.005099,-0.003649,0.002821,1578568809,MG,stand
2020-01-09 11:20:09.926,-0.023134,-0.053862,0.077092,1578568809,MG,stand
2020-01-09 11:20:10.026,-0.129754,-0.148053,0.124959,1578568810,MG,stand
2020-01-09 11:20:10.126,0.035222,0.116083,-0.072931,1578568810,MG,stand
2020-01-09 11:20:10.226,0.004691,0.067319,0.030341000000000007,1578568810,MG,stand
2020-01-09 11:20:10.326,0.039012,0.033268,0.050084,1578568810,MG,stand
2020-01-09 11:20:10.426,0.025179,0.046292,0.014111000000000004,1578568810,MG,stand
2020-01-09 11:20:10.526,0.029102,0.019168,0.006176,1578568810,MG,stand
2020-01-09 11:20:10.626,-0.043055,-0.016624,0.036143,1578568810,MG,stand
2020-01-09 11:20:10.726,0.023536,0.079904,-0.057651,1578568810,MG,stand
2020-01-09 11:20:10.826,0.009902,0.018347,0.003027,1578568810,MG,stand
2020-01-09 11:20:10.926,0.00026000000000000003,-0.007305,0.017169,1578568810,MG,stand
2020-01-09 11:20:11.025,0.007404000000000002,0.046537,-0.030636,1578568811,MG,stand
2020-01-09 11:20:11.125,-0.02143,0.017279,0.002412,1578568811,MG,stand
2020-01-09 11:20:11.225,0.021348,0.012803,0.030713,1578568811,MG,stand
2020-01-09 11:20:11.325,0.038228,0.006057,0.063801,1578568811,MG,stand
2020-01-09 11:20:11.425,0.073023,-0.000884,0.031905,1578568811,MG,stand
2020-01-09 11:20:11.526,-0.008434,0.016449000000000002,-0.0020350000000000004,1578568811,MG,stand
2020-01-09 11:20:11.626,-0.015619,0.031622000000000004,-0.050293,1578568811,MG,stand
2020-01-09 11:20:11.726,-0.062239,0.011452,-0.009582,1578568811,MG,stand
2020-01-09 11:20:11.826,-0.016288999999999998,-0.007389,0.034556,1578568811,MG,stand
2020-01-09 11:20:11.925,0.0066170000000000005,0.028288,0.035917000000000004,1578568811,MG,stand
2020-01-09 11:20:12.025,-0.006717,0.017304,-0.000901,1578568812,MG,stand
2020-01-09 11:20:12.125,-0.016651,0.017283,-0.024989,1578568812,MG,stand
2020-01-09 11:20:12.225,-0.004515,0.019403,-0.019959,1578568812,MG,stand
2020-01-09 11:20:12.325,0.002152,0.013341,0.010743,1578568812,MG,stand
2020-01-09 11:20:12.425,0.041510000000000005,0.047739,-0.027263,1578568812,MG,stand
2020-01-09 11:20:12.525,0.000197,0.013438,0.015666,1578568812,MG,stand
2020-01-09 11:20:12.625,-0.009712,-0.006476999999999999,0.037879,1578568812,MG,stand
2020-01-09 11:20:12.725,0.005539,0.030051,0.0151,1578568812,MG,stand
2020-01-09 11:20:12.825,-0.027142000000000003,0.013847,0.027051,1578568812,MG,stand
2020-01-09 11:20:12.925,0.008287000000000001,0.015289,0.007819,1578568812,MG,stand
2020-01-09 11:20:13.025,0.002016,0.013843,-0.00456,1578568813,MG,stand
2020-01-09 11:20:13.125,-0.001363,0.017082,-0.002861,1578568813,MG,stand
2020-01-09 11:20:13.225,-0.004519,0.000667,-0.000986,1578568813,MG,stand
2020-01-09 11:20:13.325,0.0005809999999999999,0.007838,0.008314,1578568813,MG,stand
2020-01-09 11:20:13.425,0.004158,0.000214,0.012094,1578568813,MG,stand
2020-01-09 11:20:13.525,-0.006899,0.005604,0.003212,1578568813,MG,stand
2020-01-09 11:20:13.625,-0.012709,0.004404,-0.011789,1578568813,MG,stand
2020-01-09 11:20:13.725,-0.007131,0.006248,-0.010967,1578568813,MG,stand
2020-01-09 11:20:13.825,0.011986,0.010641,-0.004179,1578568813,MG,stand
2020-01-09 11:20:13.925,0.034589,0.027015,0.010437,1578568813,MG,stand
2020-01-09 11:20:14.025,-0.007417,0.020884,0.012985,1578568814,MG,stand
2020-01-09 11:20:14.125,0.003769,0.014496,0.000172,1578568814,MG,stand
2020-01-09 11:20:14.225,-0.003747,0.009856,0.009273,1578568814,MG,stand
2020-01-09 11:20:14.325,0.019374,0.011927,0.006065,1578568814,MG,stand
2020-01-09 11:20:14.425,0.016855000000000002,0.013196,0.009617,1578568814,MG,stand
2020-01-09 11:20:14.525,0.006682,0.031587,-0.011038,1578568814,MG,stand
2020-01-09 11:20:14.625,0.001582,-0.040286,0.038383,1578568814,MG,stand
2020-01-09 11:20:14.724,0.010768000000000002,-0.006959,0.014966,1578568814,MG,stand
2020-01-09 11:20:14.825,-0.025649,-0.018959,0.008673,1578568814,MG,stand
