ts,Seconds,X,Y,Z,profile,Activity,
1/8/2020 17:09,0.003,0.96191406,5.38385,7.8436737,AR,laying,
1/8/2020 17:09,0.099,1.3423767,5.2953186,8.288742,AR,laying,
1/8/2020 17:09,0.1,0.98106384,5.412567,8.159531,AR,laying,
1/8/2020 17:09,0.101,1.0576324,5.32164,8.444275,AR,laying,
1/8/2020 17:09,0.1,0.7082825,5.436493,8.152344,AR,laying,
1/8/2020 17:09,0.1,0.5288086,5.4891357,8.075775,AR,laying,
1/8/2020 17:09,0.099,0.61735535,5.481964,8.080566,AR,laying,
1/8/2020 17:09,0.101,1.3375854,5.046463,8.465805,AR,laying,
1/8/2020 17:09,0.099,1.5433655,5.414963,7.8149567,AR,laying,
1/8/2020 17:09,0.102,1.3088684,5.30011,8.240875,AR,laying,
1/8/2020 17:09,0.098,-0.9068756,4.0343018,8.0327,AR,laying,
1/8/2020 17:09,0.101,0.85902405,5.211563,7.858032,AR,laying,
1/8/2020 17:09,0.1,1.7467651,4.634903,9.152542,AR,laying,
1/8/2020 17:09,0.099,-0.06700134,3.8476562,7.8747864,AR,laying,
1/8/2020 17:09,0.101,2.5100708,3.9792633,10.597809,AR,laying,
1/8/2020 17:09,0.099,-0.95951843,6.4749756,8.135605,AR,laying,
1/8/2020 17:09,0.101,-0.46180725,5.4604187,8.791229,AR,laying,
1/8/2020 17:09,0.099,0.4355011,5.3599243,8.353348,AR,laying,
1/8/2020 17:09,0.102,-0.5862427,5.5369873,8.386841,AR,laying,
1/8/2020 17:09,0.098,0.36131287,5.268997,8.221741,AR,laying,
1/8/2020 17:09,0.1,1.4811554,4.823929,7.865204,AR,laying,
1/8/2020 17:09,0.1,0.8159485,5.4676056,8.968292,AR,laying,
1/8/2020 17:09,0.101,0.7848511,5.2498474,8.295914,AR,laying,
1/8/2020 17:09,0.099,0.24645996,5.4604187,8.489731,AR,laying,
1/8/2020 17:09,0.1,0.35653687,5.350357,8.475372,AR,laying,
1/8/2020 17:09,0.101,0.49291992,5.4915314,8.252853,AR,laying,
1/8/2020 17:09,0.099,0.8494568,5.391037,8.212173,AR,laying,
1/8/2020 17:09,0.1,0.08135986,5.5752716,8.061417,AR,laying,
1/8/2020 17:09,0.1,0.15792847,5.584854,8.260025,AR,laying,
1/8/2020 17:09,0.1,0.30389404,5.5752716,8.324631,AR,laying,
1/8/2020 17:09,0.101,0.1483612,5.5298157,8.255234,AR,laying,
1/8/2020 17:09,0.099,0.1651001,5.560913,8.250458,AR,laying,
1/8/2020 17:09,0.1,0.17468262,5.5082703,8.173889,AR,laying,
1/8/2020 17:09,0.1,0.08135986,5.4676056,8.087738,AR,laying,
1/8/2020 17:09,0.101,0.3637085,5.50589,7.853241,AR,laying,
1/8/2020 17:09,0.099,0.090927124,5.4891357,8.331802,AR,laying,
1/8/2020 17:09,0.102,0.279953,5.5824585,8.250458,AR,laying,
1/8/2020 17:09,0.099,0.2536316,5.5537415,8.240875,AR,laying,
1/8/2020 17:09,0.099,0.26081848,5.4340973,8.341385,AR,laying,
1/8/2020 17:09,0.1,0.4402771,5.5322113,7.9944153,AR,laying,
1/8/2020 17:09,0.1,0.30389404,5.453247,8.346161,AR,laying,
1/8/2020 17:09,0.1,0.31825256,5.493927,8.3485565,AR,laying,
1/8/2020 17:09,0.1,0.31825256,5.4604187,8.317459,AR,laying,
1/8/2020 17:09,0.1,0.36131287,5.4795685,8.250458,AR,laying,
1/8/2020 17:09,0.101,0.46180725,5.271393,8.396408,AR,laying,
1/8/2020 17:09,0.101,0.5407715,5.3072815,8.049454,AR,laying,
1/8/2020 17:09,0.098,1.1940155,5.71167,7.9537354,AR,laying,
1/8/2020 17:09,0.1,0.78723145,5.412567,8.583054,AR,laying,
1/8/2020 17:09,0.1,0.96191406,5.50589,8.303101,AR,laying,
1/8/2020 17:09,0.101,1.0695953,5.458023,8.204987,AR,laying,
1/8/2020 17:09,0.099,0.9523468,5.3575287,8.190628,AR,laying,
1/8/2020 17:09,0.1,0.95474243,5.539383,8.4179535,AR,laying,
1/8/2020 17:09,0.1,1.0480499,5.28096,8.2456665,AR,laying,
1/8/2020 17:09,0.1,0.72024536,5.510666,7.944168,AR,laying,
1/8/2020 17:09,0.1,0.047851562,5.4915314,8.563919,AR,laying,
1/8/2020 17:09,0.101,0.6771698,5.4436646,8.015961,AR,laying,
1/8/2020 17:09,0.099,-0.7776642,5.515457,7.688141,AR,laying,
1/8/2020 17:09,0.1,-1.3997955,5.4436646,8.082962,AR,laying,
1/8/2020 17:09,0.1,-1.6199341,5.871994,7.972885,AR,laying,
1/8/2020 17:09,0.1,-1.5026855,6.070587,8.109283,AR,laying,
1/8/2020 17:09,0.1,-1.3758698,5.922241,8.504089,AR,laying,
1/8/2020 17:09,0.1,-0.91166687,5.8815613,7.5421753,AR,laying,
1/8/2020 17:09,0.1,-1.2059784,5.87677,8.0327,AR,laying,
1/8/2020 17:09,0.1,-1.0145569,5.8624115,7.8436737,AR,laying,
1/8/2020 17:09,0.1,-1.0504456,5.8289185,8.003998,AR,laying,
1/8/2020 17:09,0.102,-0.9882355,5.860016,7.951355,AR,laying,
1/8/2020 17:09,0.098,-0.98583984,5.75235,7.8436737,AR,laying,
1/8/2020 17:09,0.102,0.07417297,5.515457,8.477768,AR,laying,
1/8/2020 17:09,0.098,-0.933197,6.867401,7.5182495,AR,laying,
1/8/2020 17:09,0.101,-3.5677032,5.991623,7.4680023,AR,laying,
1/8/2020 17:09,0.099,-2.8546448,6.479767,6.546768,AR,laying,
1/8/2020 17:09,0.101,-3.151352,6.36969,6.714264,AR,laying,
1/8/2020 17:09,0.099,-3.1824493,6.2979126,6.7286224,AR,laying,
1/8/2020 17:09,0.1,-1.2562256,6.16391,8.128418,AR,laying,
1/8/2020 17:09,0.1,0.04307556,5.584854,8.305481,AR,laying,
1/8/2020 17:09,0.1,0.3254242,5.54657,7.7814636,AR,laying,
1/8/2020 17:09,0.101,0.07417297,5.0201416,8.212173,AR,laying,
1/8/2020 17:09,0.1,1.2921295,5.5824585,8.159531,AR,laying,
1/8/2020 17:09,0.099,0.15553284,5.7547455,8.511276,AR,laying,
